network_name,price_past,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,15,3.907692307692308e-05,531609.3568198364,594.214681135426,0.033150469686773695,1928975.042782738,1027.7547988164993,0.0237178017961837
GRU,15,8.223076923076923e-05,480863.7772097206,549.9301537590072,0.03141354524801411,703336.1908854167,603.1560741606213,0.014380769365067993
LSTM,15,8.615384615384615e-05,1739653.6255868708,987.6452525878323,0.05746446780831494,696663.2639508928,598.6929363432384,0.014322423531363407
RNN,15,8.984615384615384e-05,1872947.6258356785,1125.8025427377352,0.0647962410482795,809845.8402529762,667.4560955229259,0.01609003023200092
LSTM_GRU,15,9.746153846153844e-05,1193797.7207721814,850.8352731866506,0.04975057696395641,525150.665234375,494.0802418300084,0.01195751101754251
RNN_GRU,15,7.461538461538462e-05,2652703.199598816,1365.0257998595243,0.07817635812914597,1014552.2970982143,746.2214237758092,0.017855269754571575
CNN,30,6.076923076923077e-06,752784.0729341678,699.9288420500578,0.03965243501221514,2295437.0348214284,1115.1683400472004,0.02565529334935404
GRU,30,9.746153846153844e-05,1437853.4067983683,976.9831173986802,0.0562805714277081,904683.4185267857,692.6073024204799,0.0165620095318272
LSTM,30,0.0009238461538461,1261158.7238086988,931.1352280920979,0.05323029453145716,823564.0683407738,643.9103089832124,0.015355412129844937
RNN,30,8.476923076923077e-05,1615389.98380213,1050.0567888011499,0.060343046144948405,1059550.8076636905,765.5132706415086,0.01825794433908803
LSTM_GRU,30,0.0001,954557.0213253336,758.6159091890214,0.04432344397548319,626396.11953125,556.4339278448196,0.013326128201913975
RNN_GRU,30,9.746153846153844e-05,1417352.1395342427,972.7563456144527,0.055993940867733974,1158435.3345238096,795.326752726237,0.018845400418199244
