network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_nonprocessed_data_score,2.6384615384615384e-05,407000.9621860345,497.75534185324227,0.02626128371907089,2391841.3615301726,1154.8767826474946,0.02645429639124322
GRU,flair_nonprocessed_data_score,6.192307692307693e-05,493663.2263724367,547.3266561048544,0.030360641377584263,820543.375,666.2350341095322,0.01583966104335141
LSTM,flair_nonprocessed_data_score,0.0002638461538461,1852650.9148734838,984.8575462352318,0.05639891965115849,714988.0980378952,613.6943508455123,0.014671311992081418
RNN,flair_nonprocessed_data_score,8.984615384615384e-05,817023.7226689326,718.0201414254149,0.039634865089447316,940519.5680675288,726.3139609852057,0.017349827285299355
LSTM_GRU,flair_nonprocessed_data_score,0.0001,589530.2426512087,566.0122139010078,0.031865006003966946,582784.132655352,533.6088113894408,0.012894031816515428
RNN_GRU,flair_nonprocessed_data_score,7.461538461538462e-05,1849697.0405349182,1065.1595672123017,0.05976857678980861,1118738.6876795976,801.3478895165455,0.019044378900836254
CNN,textblob_nonprocessed_data_polarity_score,3.653846153846154e-05,656547.375450938,633.8784107466969,0.03512826252091692,2403664.499461207,1154.8436731798895,0.026314361256429518
GRU,textblob_nonprocessed_data_polarity_score,8.984615384615384e-05,681864.1911934636,643.1285386298814,0.035788890372150044,811400.2474856322,659.5916046493355,0.0156972611472867
LSTM,textblob_nonprocessed_data_polarity_score,0.0002130769230769,993888.7410404265,728.9271791576479,0.04102006777321374,772244.97265625,638.0635046246408,0.015246778373317471
RNN,textblob_nonprocessed_data_polarity_score,9.746153846153844e-05,1122302.1351350066,858.6399251654378,0.04723553504095336,955720.8687140804,732.9958317197602,0.01755298157061996
LSTM_GRU,textblob_nonprocessed_data_polarity_score,8.476923076923077e-05,972235.2888301612,734.9259750124008,0.04164229012309462,593699.4373204022,537.4948630497373,0.013021350541184175
RNN_GRU,textblob_nonprocessed_data_polarity_score,8.73076923076923e-05,2092961.1801979758,1182.0699256797889,0.06532911839962145,1186046.586566092,823.1341749169361,0.01973589098659055
