network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_processed_data_score,8.476923076923077e-05,405226.69576033467,512.9467384318766,0.028236228057726423,824941.499601403,672.3330408213089,0.015616636048546252
GRU,flair_processed_data_score,5.176923076923076e-05,546926.4657382622,610.292534443284,0.03421708881250639,390056.8894292092,467.299424151985,0.011218324199090806
LSTM,flair_processed_data_score,0.0007461538461538,573639.112846046,679.5325679828085,0.037047487314521746,273731.285674426,374.3703043412189,0.008848847716818658
RNN,flair_processed_data_score,8.615384615384615e-06,1156659.9079496437,901.0006702883998,0.05015132661585019,551068.6532206633,572.5480022819675,0.014058415131757453
LSTM_GRU,flair_processed_data_score,2.1307692307692308e-05,509179.57301891,552.1927543581298,0.03177751315093084,128792.45612444196,243.1299829288405,0.00603972504400097
RNN_GRU,flair_processed_data_score,8.223076923076923e-05,3358163.702388734,1600.9469970075513,0.08901281102913149,645500.8864795918,610.276457183215,0.015044326048192322
CNN,textblob_processed_data_polarity_score,0.0001,502709.37995714025,572.474925690874,0.031604380991257244,944383.9080038265,722.0730403977998,0.016847090681596677
GRU,textblob_processed_data_polarity_score,5.430769230769231e-05,625017.3749368172,654.2330243814267,0.036602790830287384,355664.28212691325,443.3876725800183,0.010750681427972657
LSTM,textblob_processed_data_polarity_score,6.0769230769230765e-05,294859.9345684493,444.53403659222363,0.024755396915852754,369264.6461654974,446.2978595032984,0.01052654004769818
RNN,textblob_processed_data_polarity_score,1.1153846153846154e-05,1623561.889800344,1068.8950107446979,0.05945939440247092,591285.498565051,590.1206017319037,0.014561997565003683
LSTM_GRU,textblob_processed_data_polarity_score,1.3692307692307692e-05,477970.0800915598,513.7672517673521,0.029968757153432387,136304.38261320154,248.02618322567065,0.006051386457069644
RNN_GRU,textblob_processed_data_polarity_score,8.73076923076923e-05,3687077.3361529275,1701.2583346722365,0.09403808496617574,695584.307557398,643.0017407475685,0.015933734288781275
