network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_nonprocessed_data_score,4.161538461538461e-05,384044.64027760865,488.11466443579354,0.025178231123071295,1650907.9638935812,976.8628865834829,0.022483468584313587
GRU,flair_nonprocessed_data_score,5.6846153846153845e-05,287604.850491872,414.1695219176621,0.02201725557799221,909065.8765308277,718.0862793793549,0.01701223584068184
LSTM,flair_nonprocessed_data_score,0.0001876923076923,410518.2971762114,487.57594523250856,0.025988793166041732,894422.9285261824,707.442751085436,0.016880428443687992
RNN,flair_nonprocessed_data_score,0.0001,654391.3876734333,648.7391378252986,0.034124254823905256,1022523.5546875,772.7239668562605,0.0183731229044497
LSTM_GRU,flair_nonprocessed_data_score,6.7e-05,205495.88990591004,337.37399677367745,0.018013843489651547,247828.19119180215,348.50741494668495,0.00829605244389559
RNN_GRU,flair_nonprocessed_data_score,8.476923076923077e-05,1396323.2593384376,941.4954304874146,0.05020323645113133,1201160.150126689,835.7192844700169,0.01979536413391297
CNN,textblob_nonprocessed_data_polarity_score,5.430769230769231e-05,574733.3907437699,627.2735974829352,0.03271109090154646,1729917.9785684121,992.3631740260769,0.02272369176451419
GRU,textblob_nonprocessed_data_polarity_score,9.492307692307692e-05,587281.7534309035,605.1784976269198,0.03201674563873857,836706.1182432432,685.4798649968328,0.016350525393578653
LSTM,textblob_nonprocessed_data_polarity_score,0.0004161538461538,564500.2638277373,535.29032903157,0.029029454186270617,856393.3786951014,686.368939786344,0.016278623477429956
RNN,textblob_nonprocessed_data_polarity_score,8.223076923076923e-05,768885.1188982159,699.8599882679181,0.036755646980331,969262.1557749156,745.3474116969753,0.017663586960249656
LSTM_GRU,textblob_nonprocessed_data_polarity_score,9.238461538461538e-05,301178.75500334654,403.07605855375425,0.021598884909318994,625106.8553631756,573.6584369556324,0.013749003315948555
RNN_GRU,textblob_nonprocessed_data_polarity_score,5.430769230769231e-05,1528507.7398818997,1016.1195139185154,0.053715077676337285,1185040.0882601351,819.5877792770798,0.019378443676474934
CNN,textblob_nonprocessed_data_subjectivity_score,2.6384615384615384e-05,228036.42846625007,374.02121773677476,0.01891687263246814,1515191.0003695101,927.7979930155986,0.021378766204154975
GRU,textblob_nonprocessed_data_subjectivity_score,7.207692307692308e-05,429023.10858213535,510.89231815273035,0.027200294570199634,789428.7921241554,660.7156594766153,0.01577319437637925
LSTM,textblob_nonprocessed_data_subjectivity_score,0.000136923076923,152102.2062226839,319.1282063246587,0.016292186406650967,840247.2993032094,677.9253614271009,0.0160611303070107
RNN,textblob_nonprocessed_data_subjectivity_score,7.207692307692308e-05,700320.4342214239,670.5749520051195,0.03546579017840157,784740.4547086149,677.7355721963419,0.016042505258794974
LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,9.746153846153844e-05,245891.2488354367,398.12701645157847,0.020873977466894744,271583.333383921,373.4108132027291,0.008699162237069293
RNN_GRU,textblob_nonprocessed_data_subjectivity_score,4.669230769230769e-05,1245525.6004233116,893.7189499786689,0.047814206776099044,1093931.4539695946,800.340947331609,0.018860517535358667
CNN,vader_nonprocessed_data_score,2.384615384615385e-05,274163.85442424554,411.1991504239548,0.020860218769922747,1318424.1106418918,868.096424412083,0.02030843828578253
GRU,vader_nonprocessed_data_score,5.938461538461538e-05,319445.51314451586,463.14288475895904,0.023769363177117767,934504.1002956082,722.438761118296,0.017229280698843098
LSTM,vader_nonprocessed_data_score,0.000466923076923,1049071.5639525468,909.2735141584898,0.04505626097101003,872514.6102195946,713.7816261085304,0.017285971235282516
RNN,vader_nonprocessed_data_score,5.6846153846153845e-05,646930.8219302896,636.2992114174488,0.033190012717764165,983182.125,757.2830864158836,0.018049682717065554
LSTM_GRU,vader_nonprocessed_data_score,9.746153846153844e-05,758978.6962895768,699.1338857188566,0.0367371472214196,612173.003589527,573.6457070015572,0.013999130476165461
RNN_GRU,vader_nonprocessed_data_score,6.192307692307693e-05,1548276.5908697082,1043.0978795595136,0.053991291554986255,1218317.4852195946,847.5630171492293,0.020431622598521614
CNN,bert_nonprocessed_data_sentiment_score,4.669230769230769e-05,272759.4007897491,406.61412449338735,0.021307034793946526,1429419.7792440879,894.8187367207295,0.020455250239654166
GRU,bert_nonprocessed_data_sentiment_score,6.953846153846154e-05,330494.53236727667,453.74589043835323,0.023486828857217517,943761.3397381756,725.7970840866501,0.0172557125144915
LSTM,bert_nonprocessed_data_sentiment_score,0.0001115384615384,162903.64065073294,325.791015625,0.01693491804770069,945346.7161634291,729.8908843994141,0.0172949434207702
RNN,bert_nonprocessed_data_sentiment_score,9.746153846153844e-05,855608.7773901123,732.6833637745307,0.03891497652330766,847123.5620777027,696.9774161673881,0.016613897376668615
LSTM_GRU,bert_nonprocessed_data_sentiment_score,9.238461538461538e-05,474042.2605580079,529.0031996587031,0.027685026291981017,594288.023754223,560.3344660578547,0.013504589523969067
RNN_GRU,bert_nonprocessed_data_sentiment_score,6.446153846153846e-05,1616179.8243686429,1029.7840063726535,0.0539138042646772,1308097.7320523649,885.1742318643106,0.021114718055704963
CNN,roberta_nonprocessed_data_sentiment_score,4.9230769230769225e-05,700072.8893150225,641.1237401343857,0.03460936645173044,1534877.0219594594,936.2690817343222,0.021440006918399722
