network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_processed_data_score,1.1153846153846154e-05,533116.0818792264,577.8642303647374,0.030725450075876255,1316970.0880514707,863.4115460564109,0.020286047458648683
GRU,flair_processed_data_score,8.984615384615384e-05,560367.8408636115,583.593436517659,0.03255958856734328,613720.3707720588,583.1500016156365,0.013935517793630852
LSTM,flair_processed_data_score,8.615384615384615e-05,730301.0139668933,616.6265746348002,0.034529782993892574,579274.805882353,566.8305105770336,0.013647028672344545
RNN,flair_processed_data_score,9.746153846153844e-05,841759.290109736,741.7332684217826,0.04094030690556302,680438.2485294117,616.7570509966682,0.014811127775293939
LSTM_GRU,flair_processed_data_score,7.715384615384615e-05,367172.51983173075,445.70200975406806,0.025309613463854175,296042.91809512867,380.59426493925207,0.009116178876994287
RNN_GRU,flair_processed_data_score,8.984615384615384e-05,1406198.4730352142,949.275215826091,0.05279518899753395,939528.3416360294,723.3156853170956,0.01717275816070683
CNN,textblob_processed_data_polarity_score,5.176923076923076e-05,848250.7960674579,746.2166264099483,0.04090463125595366,1416528.606617647,885.4507593491498,0.020562027657733243
GRU,textblob_processed_data_polarity_score,9.492307692307692e-05,493503.4974575212,558.3984505015718,0.030922677354955925,600328.4807444853,564.9010697308709,0.013498686752556001
LSTM,textblob_processed_data_polarity_score,0.0001876923076923,334505.1025313428,419.7789545002774,0.02325333081509232,566963.5212316177,553.4903167724609,0.0132467811817632
RNN,textblob_processed_data_polarity_score,8.984615384615384e-05,1244909.578048345,901.6891020825628,0.04994662692057404,780359.1147058824,670.3958162195543,0.01613803156377638
LSTM_GRU,textblob_processed_data_polarity_score,9.492307692307692e-05,720935.7411280976,629.6405599921412,0.03572883415323928,372264.8956571691,424.92446253159466,0.010428725226837045
RNN_GRU,textblob_processed_data_polarity_score,0.0001,2656377.5476465393,1351.4577376687314,0.07463387276448782,970719.6386029412,742.9027350930606,0.017875265472513786
CNN,textblob_processed_data_subjectivity_score,6.953846153846154e-05,1002385.0184802896,761.0277020155326,0.0430189470702661,1405644.841727941,881.6653015136719,0.020238708967671677
GRU,textblob_processed_data_subjectivity_score,8.73076923076923e-05,588694.1464194574,609.5961133968195,0.03391367280525128,599254.1741727941,571.4540593764361,0.013732357158818665
LSTM,textblob_processed_data_subjectivity_score,0.0003146153846153,1287108.315631302,854.7079095784023,0.048426295490926835,527647.8538143382,532.2657203225529,0.012841574518996127
RNN,textblob_processed_data_subjectivity_score,9.746153846153844e-05,979616.9101188536,797.8035635863536,0.04433262238237051,667102.7655330882,607.034604061351,0.014430947842843392
LSTM_GRU,textblob_processed_data_subjectivity_score,0.0001,377740.74760302145,451.13608889607985,0.02569599787086147,265187.8194163603,357.6603170058307,0.00859579017988461
RNN_GRU,textblob_processed_data_subjectivity_score,8.223076923076923e-05,2113958.2503523515,1202.7721228966345,0.06647127518239541,803115.6066176471,679.1331216251149,0.016309410267893006
CNN,vader_processed_data_score,7.207692307692308e-05,1198812.9002899532,845.4460145848742,0.04751303150699496,1417906.8259191175,887.57593311983,0.020409656326998683
GRU,vader_processed_data_score,9.238461538461538e-05,708461.7207104864,666.2778652574889,0.036898194399833495,597603.2270680147,573.674124325023,0.0138474625590093
LSTM,vader_processed_data_score,0.0002130769230769,147140.1966315388,304.36074666581914,0.016026394234638877,579815.5920496323,555.9624486586627,0.013243422690121567
RNN,vader_processed_data_score,9.492307692307692e-05,1128685.220848309,862.1722506009615,0.047460659953594046,786414.4205882353,667.4261488970589,0.01610852507326533
