network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_nonprocessed_data_score,8.476923076923077e-05,254527.68856358802,398.51109707552416,0.021100845964356685,874629.5377998737,704.3150804307726,0.016510948510558315
GRU,flair_nonprocessed_data_score,6.953846153846154e-05,551587.1919259019,616.0833118249682,0.03450613715303246,343303.02659406565,436.12768508448744,0.010468664390947482
LSTM,flair_nonprocessed_data_score,0.0008476923076923,848239.4228104588,817.2310494758577,0.04499523075682962,243186.6287484217,354.8566533868963,0.008505206860865306
RNN,flair_nonprocessed_data_score,1.1153846153846154e-05,1409846.4734187436,986.5352058846887,0.055161754920159976,537168.2395833334,562.7257511639835,0.013748495002286603
LSTM_GRU,flair_nonprocessed_data_score,1.623076923076923e-05,579866.9353011445,593.42661511277,0.034016788000683335,132532.38034643308,246.16689608795474,0.00609818366920632
RNN_GRU,flair_nonprocessed_data_score,0.0001,2957822.123374464,1485.6812758100382,0.08291650248624578,605426.3304924242,600.5900493583293,0.014664064067406486
CNN,textblob_nonprocessed_data_polarity_score,3.538461538461538e-06,736566.9514676135,693.2800748987453,0.03788507969401308,848362.5192550505,709.6186344647648,0.017162517879647437
GRU,textblob_nonprocessed_data_polarity_score,7.207692307692308e-05,601798.8600191119,639.338650035737,0.03583792843464245,351127.5871212121,443.83071776110717,0.010692396417561204
LSTM,textblob_nonprocessed_data_polarity_score,0.000796923076923,824222.4188420975,756.9516434045426,0.04250072354418122,286236.2801846591,389.125734117296,0.009289937503071445
RNN,textblob_nonprocessed_data_polarity_score,2.1307692307692308e-05,1666958.6646585476,1089.100334041455,0.060763452786275436,595254.6298926767,595.239762123185,0.014561639270848699
LSTM_GRU,textblob_nonprocessed_data_polarity_score,1.1153846153846154e-05,465002.5566029288,512.7060807457116,0.029772722304745373,135163.60177951388,247.9797687723179,0.006043955958871679
RNN_GRU,textblob_nonprocessed_data_polarity_score,8.223076923076923e-05,4155179.7543855784,1792.6068634847522,0.09960073807701028,675979.8825757576,630.8271228520557,0.01543709502150916
CNN,textblob_nonprocessed_data_subjectivity_score,6.076923076923077e-06,715488.7173916963,673.3242721072903,0.03633614790669064,775154.8486426767,678.321780734592,0.016298452721475953
GRU,textblob_nonprocessed_data_subjectivity_score,8.223076923076923e-05,768023.1371537079,716.101733739676,0.04059099841929038,344230.8113162879,436.6347882819898,0.010427226985080374
LSTM,textblob_nonprocessed_data_subjectivity_score,6.0769230769230765e-05,555849.2714197433,614.723055809244,0.03445893246558462,346481.44728535356,439.6819604430536,0.010523712841060125
RNN,textblob_nonprocessed_data_subjectivity_score,3.146153846153846e-05,1537724.3869962874,1049.7663397395172,0.058599342348634946,511499.92061237374,548.4707894373422,0.013328440412126406
LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,1.1153846153846154e-05,409279.3841319829,481.8635170147713,0.02796464182540282,135716.64328835226,250.11395525691486,0.0060956813771315295
RNN_GRU,textblob_nonprocessed_data_subjectivity_score,8.476923076923077e-05,3323383.096727931,1597.8600053605464,0.0888284891363786,617162.9943181818,600.788108748619,0.014652883558712824
CNN,vader_nonprocessed_data_score,3.538461538461538e-06,737535.5263802748,676.8675907818456,0.03640638383341815,1050557.6452020202,797.8489342891809,0.01944478124267224
GRU,vader_nonprocessed_data_score,3.653846153846154e-05,778625.4591291881,738.3177563135324,0.0411996073363937,380226.34572285356,460.4240812051176,0.011073317223538956
LSTM,vader_nonprocessed_data_score,0.00034,999796.6353132158,795.9593417447586,0.045605814995560254,295996.82567866164,399.5641981953322,0.009537575460706998
