network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_nonprocessed_data_score,4.161538461538461e-05,577019.3464511702,598.9748093536689,0.031531433291962126,2068973.3048986488,1084.6775063179634,0.024982719556302636
GRU,flair_nonprocessed_data_score,5.938461538461538e-05,274625.5601661344,405.9500486614761,0.021466773013570806,979648.5133023649,740.8930936246305,0.017563562223536743
LSTM,flair_nonprocessed_data_score,0.0004161538461538,694260.3009380888,595.4402347082978,0.0325771336132048,933679.3612753379,722.9465492867134,0.017167756126287417
RNN,flair_nonprocessed_data_score,6.192307692307693e-05,664623.4564820898,646.777597056314,0.03398591670074179,1019025.9763513514,765.9566728746569,0.018211639637278544
LSTM_GRU,flair_nonprocessed_data_score,0.0001,595651.8673867137,564.2615587670648,0.03066753484601248,658535.4536000844,588.6780185183964,0.01422089832910412
RNN_GRU,flair_nonprocessed_data_score,8.73076923076923e-05,1145895.8561454487,822.5877089777091,0.04431728393522031,1237359.6380912163,847.0647764463682,0.019944573161066383
CNN,textblob_nonprocessed_data_polarity_score,6.446153846153846e-05,1119396.0607392113,797.9658886385453,0.04323978970372023,2516787.140097128,1185.6960036819046,0.027032278075411514
GRU,textblob_nonprocessed_data_polarity_score,0.0001,209901.84327958143,372.9419528583618,0.019240927268431518,914459.2075591217,713.1835479736328,0.016863757178086688
LSTM,textblob_nonprocessed_data_polarity_score,0.000466923076923,519825.9971159131,556.9857215230376,0.029669862034789815,897851.6945734797,709.9617643614073,0.016952531116485998
RNN,textblob_nonprocessed_data_polarity_score,9.238461538461538e-05,584268.5285685282,591.8755799381399,0.03136319428042242,1043969.2842060811,775.7677232896959,0.018344747997518326
LSTM_GRU,textblob_nonprocessed_data_polarity_score,8.476923076923077e-05,694816.6304565665,600.2370447152304,0.0325699609728602,651193.0404877533,585.8610326406118,0.014139319090424356
RNN_GRU,textblob_nonprocessed_data_polarity_score,6.953846153846154e-05,1697675.402666528,1064.0305200778585,0.05624427443764366,1288073.9193412163,863.935192623654,0.0204812239830357
CNN,textblob_nonprocessed_data_subjectivity_score,8.984615384615384e-05,1306654.1564250335,854.8752283089804,0.046568511879753395,2300433.5532094594,1146.5925128008869,0.026170622557401657
GRU,textblob_nonprocessed_data_subjectivity_score,9.746153846153844e-05,347098.0168896177,454.3125766584898,0.024118384999811487,842803.5757231842,680.4368018073004,0.016178153983845905
LSTM,textblob_nonprocessed_data_subjectivity_score,0.0004161538461538,574780.9959935035,557.8678374306741,0.030128228950065204,757042.8859533361,646.9971711442278,0.015333919911771207
RNN,textblob_nonprocessed_data_subjectivity_score,8.73076923076923e-05,658055.3593231306,646.8762082044582,0.03429533966292298,891470.7428209459,713.9619540652714,0.016809554065804224
LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,1.1153846153846154e-05,209737.99078065463,352.9497853562287,0.018819368555807108,268903.30116395693,364.59450737205714,0.008700309208015332
