network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_processed_data_score,4.415384615384615e-05,273805.77746838855,407.060192717684,0.020992278671037246,1371362.9770089285,885.5401136125837,0.02064927968063525
GRU,flair_processed_data_score,7.969230769230769e-05,242343.9179297812,387.3425648002693,0.020542872098930645,857767.4526785715,696.7078177315848,0.016700157642896687
LSTM,flair_processed_data_score,8.615384615384615e-05,453671.58738304424,517.7601828994614,0.02777907647064411,871306.0426339286,701.1003404889788,0.016913352361215012
RNN,flair_processed_data_score,8.476923076923077e-05,542844.1782222933,591.5759684975314,0.031018920297336494,869787.2283482143,707.8193668910435,0.016955050573285137
LSTM_GRU,flair_processed_data_score,1.3692307692307692e-05,237941.77265081627,372.7585173081239,0.019933024967579725,211355.71898716516,328.1074972970145,0.007939603020037924
RNN_GRU,flair_processed_data_score,6.446153846153846e-05,1171222.781881918,860.2920430318671,0.04612090724960966,1123678.102455357,801.9032632010324,0.018985476743962084
CNN,textblob_processed_data_polarity_score,8.476923076923077e-05,742815.7869015391,679.6654966618044,0.03604296493444122,1758176.0483258928,1000.8051940917969,0.02319324645879013
GRU,textblob_processed_data_polarity_score,8.73076923076923e-05,501865.3255323071,552.7621465439856,0.029540501960157794,832611.2889508929,680.0633514404296,0.01633167558216623
LSTM,textblob_processed_data_polarity_score,0.0001623076923076,86756.35836712547,225.359641494614,0.011233007093171305,915543.5212611607,710.9850156511579,0.016868719731324484
RNN,textblob_processed_data_polarity_score,0.0001,868257.0750658867,735.650878029623,0.03917126361445153,871142.7254464285,714.7845955984933,0.0173392578959465
LSTM_GRU,textblob_processed_data_polarity_score,0.0001,301395.3338968972,394.2683986478905,0.02137299992348122,610756.1595982143,566.4168326241629,0.013706926216504404
RNN_GRU,textblob_processed_data_polarity_score,8.223076923076923e-05,1658289.79809308,1050.156302597621,0.05589913971341948,1103530.2176339286,797.4802965436663,0.01930554491866912
CNN,textblob_processed_data_subjectivity_score,4.161538461538461e-05,313067.791770079,439.44064533774684,0.02317442353369335,1429614.579017857,902.1125479561942,0.020911318316523517
GRU,textblob_processed_data_subjectivity_score,8.223076923076923e-05,386078.58352552925,496.3670332136445,0.02641768132675181,693414.1400669643,624.6396009172712,0.01511863681620785
LSTM,textblob_processed_data_subjectivity_score,0.0001115384615384,155867.63279284438,317.2011052513465,0.016142041629706585,850075.6575892858,684.9409519740514,0.016458426083305052
RNN,textblob_processed_data_subjectivity_score,8.73076923076923e-05,638616.5323930394,625.9809491416069,0.03356448410133446,701621.1254464285,629.6154824393136,0.015163051855883429
LSTM_GRU,textblob_processed_data_subjectivity_score,9.492307692307692e-05,263278.81027402484,382.7412021712298,0.020679449028489585,183329.70797991072,305.85239312308175,0.007373588681886239
RNN_GRU,textblob_processed_data_subjectivity_score,8.476923076923077e-05,1203089.687887709,871.2970433123878,0.04674361773070306,924075.3428571429,731.2825905936105,0.017425180160041367
CNN,vader_processed_data_score,4.161538461538461e-05,221441.54168280665,362.6124607271095,0.01855624627980165,1234651.5143973215,835.1138155255999,0.01937165002205542
GRU,vader_processed_data_score,6.953846153846154e-05,300128.8057366924,441.58586386333036,0.022901238946131938,893024.3424107142,714.8093052455357,0.017216230197144407
LSTM,vader_processed_data_score,0.0002130769230769,652183.4375857314,595.4138766550718,0.03219016493009609,816474.7155133928,674.229230608259,0.01626504380921168
RNN,vader_processed_data_score,6.192307692307693e-05,666687.5658972653,653.9815207024237,0.034337379060462206,920203.8544642857,731.2205108642578,0.017608686124107667
LSTM_GRU,vader_processed_data_score,9.238461538461538e-05,500216.268090897,570.0049546959157,0.029977910839557836,541588.7215401785,544.1370492117745,0.013280514195295317
RNN_GRU,vader_processed_data_score,5.938461538461538e-05,1303155.2710926048,946.592908438061,0.04928720040189159,1192054.9486607143,837.1747776576451,0.020263917398239885
CNN,bert_processed_data_sentiment_score,6.7e-05,339483.0314166002,453.6146698271993,0.024017806456512168,1420521.3930803572,896.4627491542271,0.020794933741646152
GRU,bert_processed_data_sentiment_score,6.192307692307693e-05,247807.34409453496,395.93966000897666,0.02037627974323431,922333.9245535714,721.9657309395926,0.017325059790164233
LSTM,bert_processed_data_sentiment_score,6.0769230769230765e-05,86564.98949530994,222.41692731710054,0.011108144137076224,827870.0993861607,687.9463474818639,0.01642885273322463
RNN,bert_processed_data_sentiment_score,6.192307692307693e-05,678028.0305927147,649.4075719535458,0.034378894694384904,869728.9089285714,709.0153900146485,0.01709717010547008
LSTM_GRU,bert_processed_data_sentiment_score,9.746153846153844e-05,103670.59593604069,241.34285584043985,0.012787116170857092,232163.23585379464,342.45434810093474,0.00817422532875623
RNN_GRU,bert_processed_data_sentiment_score,6.953846153846154e-05,1175674.3022317528,851.7399854129264,0.04536675968960043,1250780.99375,848.9252096993582,0.02039045462650912
CNN,roberta_processed_data_sentiment_score,6.192307692307693e-05,569289.2133885492,594.5295738891382,0.03162607324583024,1427365.4370535715,897.8935263497489,0.020881446304598025
GRU,roberta_processed_data_sentiment_score,7.715384615384615e-05,184749.05356141095,343.6010926279174,0.01753223421971387,836057.5536830357,694.2500239780971,0.016571503451892306
LSTM,roberta_processed_data_sentiment_score,3.538461538461538e-05,177306.17472214074,326.7794511613555,0.01711473114173028,790203.5280133928,670.9364735194615,0.016030966410679477
RNN,roberta_processed_data_sentiment_score,6.446153846153846e-05,612245.9636547903,625.4394811770646,0.03292435609476488,946287.4589285714,736.8209742954799,0.017671606450208596
LSTM_GRU,roberta_processed_data_sentiment_score,1.623076923076923e-05,79515.99671594972,208.95706280857272,0.011050660474061717,268594.10309709824,376.4094926016671,0.009009390397529517
RNN_GRU,roberta_processed_data_sentiment_score,6.192307692307693e-05,856264.1496463823,730.649948804982,0.03865636533307651,1236856.1732142856,850.952600969587,0.020497829041310717
