network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_processed_data_score,7.715384615384615e-05,605561.5753414085,625.8908189317561,0.03441768108574125,1063475.2028061224,770.2918950294961,0.018020486981817047
GRU,flair_processed_data_score,9.238461538461538e-05,753276.211792811,712.7293089251285,0.04032801729213215,374858.08290816325,454.68627571573063,0.010994136167157973
LSTM,flair_processed_data_score,0.0008730769230769,796134.4557521006,733.2650475980078,0.04156147352807196,286419.18375318876,380.1446304321289,0.009090388630877952
RNN,flair_processed_data_score,1.623076923076923e-05,1146540.121408666,896.4072566878214,0.04989004305862462,527917.7121332908,552.4184162373446,0.013524678013078412
LSTM_GRU,flair_processed_data_score,3.4e-05,620681.3338961956,606.72073952643,0.0349749384849625,166548.08769132654,275.58502944634887,0.0068399246273638335
RNN_GRU,flair_processed_data_score,9.492307692307692e-05,2133526.947737912,1251.825181505061,0.06998665520151781,678489.8609693878,625.7876583800024,0.015176255636069239
CNN,textblob_processed_data_polarity_score,1.1153846153846154e-05,458312.39066763833,543.6532857939027,0.03002983428538444,1000996.7441804847,747.2573520893953,0.017451011737314413
GRU,textblob_processed_data_polarity_score,8.984615384615384e-05,703391.5343008164,691.5968202723329,0.03896764149578261,374044.72353316325,456.55149763457626,0.011037205369686899
LSTM,textblob_processed_data_polarity_score,0.0002384615384615,486496.585982563,502.9103558302539,0.02833441189660243,355116.0664859694,439.54305594308033,0.01054140901174016
RNN,textblob_processed_data_polarity_score,2.384615384615385e-05,1713984.7642304879,1089.6903192279885,0.061181857645664854,576503.923947704,578.7910710548867,0.014297629630535233
LSTM_GRU,textblob_processed_data_polarity_score,1.1153846153846154e-05,434803.4277739096,496.04359636086116,0.028798652637448695,168480.5777861926,275.83500134215063,0.006704497811555558
RNN_GRU,textblob_processed_data_polarity_score,0.0001,3765410.1744513647,1686.8944107487146,0.09413432035583433,724137.2346938775,656.3380675023916,0.016192317065991918
CNN,textblob_processed_data_subjectivity_score,1.876923076923077e-05,563279.8363772787,609.7289750361504,0.03355310819120593,1078809.257174745,785.2423749651227,0.018503516237726624
GRU,textblob_processed_data_subjectivity_score,7.969230769230769e-05,882982.985222765,766.1969166733612,0.04356441601284434,361014.928252551,443.85881353884326,0.010675214744191997
LSTM,textblob_processed_data_subjectivity_score,0.0001623076923076,452582.0834217219,539.707953837966,0.029953771934887647,368979.22692123725,447.35842786516463,0.010760178585175653
RNN,textblob_processed_data_subjectivity_score,1.876923076923077e-05,1899484.553078095,1164.365130191597,0.06532547269176613,565818.3406409438,575.274812348035,0.014125523575562604
LSTM_GRU,textblob_processed_data_subjectivity_score,1.3692307692307692e-05,481003.1283596892,514.8997705454691,0.02996847628606669,166305.84017259246,274.53376318483936,0.006693995472195805
RNN_GRU,textblob_processed_data_subjectivity_score,9.492307692307692e-05,3297400.855153905,1576.6725703928341,0.08810559968547273,694399.4591836735,632.0323296371771,0.015408760516391116
CNN,vader_processed_data_score,1.623076923076923e-05,394267.06513737777,485.85838149200674,0.02637694953127697,897480.0556441327,710.5120525749362,0.01677446318220119
GRU,vader_processed_data_score,3.146153846153846e-05,585452.8189248327,637.6696206217866,0.03539677095564458,412964.4434789541,478.608354373854,0.011521767815384937
LSTM,vader_processed_data_score,8.615384615384615e-05,854486.2613267335,735.3844103972526,0.04170377645877239,397718.024473852,465.3767433945014,0.011181315511693152
RNN,vader_processed_data_score,2.1307692307692308e-05,1698552.6999390118,1105.456194017111,0.06155066642032488,642309.7185905612,608.0930107272401,0.014912843438131469
LSTM_GRU,vader_processed_data_score,1.623076923076923e-05,555523.1591761842,574.8828099895566,0.03301043517160071,173579.336326132,282.45169978239096,0.006946848482083605
RNN_GRU,vader_processed_data_score,0.0001,3731546.309198414,1717.6305932679948,0.09482574032303569,676582.1028380102,631.5920347875478,0.015615454789403141
CNN,bert_processed_data_sentiment_score,9.238461538461538e-05,643771.813708504,636.3672603028599,0.0354538173525496,1163006.9636479593,802.5036683374522,0.018621089526129012
GRU,bert_processed_data_sentiment_score,7.715384615384615e-05,502851.47350379924,583.7731036110218,0.03259827068268117,390227.0358737245,463.68311154112524,0.011187807205418239
LSTM,bert_processed_data_sentiment_score,0.0009492307692307,1028766.9650499201,851.1270460114074,0.04799209236392421,293668.96988600126,388.48435927410515,0.009275483761020765
RNN,bert_processed_data_sentiment_score,5.176923076923076e-05,1725362.7310854169,1103.5544766227506,0.06185420334385828,522961.8855229592,550.1711316789899,0.013533531251002331
LSTM_GRU,bert_processed_data_sentiment_score,2.1307692307692308e-05,504526.58084073104,516.0073079008677,0.03014834662618998,170443.56202168367,277.52705974968114,0.006753498203672317
RNN_GRU,bert_processed_data_sentiment_score,7.969230769230769e-05,3143246.700390068,1535.7653212363432,0.08559331123550735,709489.1466836735,648.3034555863361,0.015996447954402894
CNN,roberta_processed_data_sentiment_score,8.984615384615384e-05,680930.566185429,674.4746382450996,0.0378747770715694,1107873.8891103317,787.1608352661133,0.018230000016640643
GRU,roberta_processed_data_sentiment_score,6.953846153846154e-05,559561.1348976783,618.8875672798844,0.03454419218967693,384662.46898915817,464.25458947006535,0.011232476695725808
LSTM,roberta_processed_data_sentiment_score,0.0007461538461538,787100.2422306507,692.47171608893,0.03992285257703499,291657.06208147324,387.4260686757613,0.009153899518126736
RNN,roberta_processed_data_sentiment_score,6.076923076923077e-06,1367571.1481994786,972.8446612909704,0.05446772474483144,644206.2885841837,614.1351480289381,0.014953266971801616
LSTM_GRU,roberta_processed_data_sentiment_score,1.1153846153846154e-05,446478.78346941585,494.11250928864075,0.028825101682573323,167129.10272341358,275.626851918746,0.0066911431756440775
RNN_GRU,roberta_processed_data_sentiment_score,8.73076923076923e-05,3649449.5062062377,1679.9471363371626,0.0932576477100862,754409.3016581633,673.8604045011559,0.016641673451403573
