network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_nonprocessed_data_score,6.192307692307693e-05,654158.1914745512,639.7913848304473,0.03503136664127036,1655958.2062679597,961.282155004041,0.02197344139774983
GRU,flair_nonprocessed_data_score,8.223076923076923e-05,343512.3709652613,461.3234676564755,0.025508442274800435,629962.5980603448,586.5063460777545,0.013873241151329773
LSTM,flair_nonprocessed_data_score,0.0002892307692307,384407.3209436645,469.05525539998195,0.02621181417575098,540634.3747306034,540.0221929440553,0.012764649256935408
RNN,flair_nonprocessed_data_score,8.984615384615384e-05,1164126.2204272144,858.5930200441919,0.047752976543994075,696886.9480962644,631.5850009260506,0.015122044510368643
LSTM_GRU,flair_nonprocessed_data_score,8.984615384615384e-05,304143.3060066504,402.60112001713566,0.022746433014536282,306566.0683032507,390.1017784030958,0.009240070384680882
RNN_GRU,flair_nonprocessed_data_score,8.223076923076923e-05,1496114.0768505938,978.5471483811327,0.05433147277130005,920493.1070402298,728.4436010601877,0.017156488583262623
CNN,textblob_nonprocessed_data_polarity_score,6.446153846153846e-05,2337187.6718911505,1147.1797650049602,0.06536705494284815,1742744.2722701149,972.8668960045123,0.022105676796415757
GRU,textblob_nonprocessed_data_polarity_score,0.0001,742035.8634474288,687.1199692234849,0.0382085674118387,577262.652029454,560.7449410975664,0.013410891459762365
LSTM,textblob_nonprocessed_data_polarity_score,0.0002892307692307,657179.2074799145,593.5459984893579,0.03366129295428629,552160.9298670978,540.1636926059065,0.01283790383102565
RNN,textblob_nonprocessed_data_polarity_score,9.238461538461538e-05,1085924.1750855218,831.7469561688312,0.04618248506449163,690441.3098060344,627.590542497306,0.015048446379944512
LSTM_GRU,textblob_nonprocessed_data_polarity_score,8.476923076923077e-05,993196.3142313194,742.5141580424784,0.04205812614062206,381411.7244971264,431.1590965534079,0.010539409948041898
RNN_GRU,textblob_nonprocessed_data_polarity_score,7.969230769230769e-05,3152356.5968824336,1507.7139066445707,0.08269362374491758,942164.2948994252,745.0640960342582,0.017961122877039444
CNN,textblob_nonprocessed_data_subjectivity_score,1.1153846153846154e-05,459522.3507269437,530.8012032997384,0.02848294873100008,1305732.1594827587,864.2577809300916,0.01995356918323314
GRU,textblob_nonprocessed_data_subjectivity_score,9.238461538461538e-05,817672.7791953865,715.6519703170094,0.03999750954559495,562741.8362966954,555.3500881852775,0.013243198239554962
LSTM,textblob_nonprocessed_data_subjectivity_score,0.0001623076923076,802614.8032519518,692.1271433644481,0.03839343712967686,573797.6497844828,562.102234412884,0.013491217443055805
RNN,textblob_nonprocessed_data_subjectivity_score,7.969230769230769e-05,1150244.4566445977,868.9858687319625,0.04814663115926379,634455.3464439656,595.4790800248069,0.014191079788423818
LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,0.0001,342013.89201996545,434.66810544056636,0.024584885194516657,282704.9375448994,373.0460680380635,0.008865372569503626
RNN_GRU,textblob_nonprocessed_data_subjectivity_score,8.73076923076923e-05,2031136.8621956522,1173.9399280190296,0.06493226325562396,816717.7963362068,683.0368241934941,0.016243385943188065
CNN,vader_nonprocessed_data_score,3.653846153846154e-05,362278.54404736805,471.5718837369228,0.02430604792088821,1722480.9464798851,995.0612842077496,0.023090906698128272
GRU,vader_nonprocessed_data_score,9.238461538461538e-05,355087.34380176815,474.601358168741,0.025976182065895238,648726.428205819,598.0283638088182,0.014182477846912954
LSTM,vader_nonprocessed_data_score,0.0002638461538461,2060667.3112678472,1171.1785545183982,0.06489648390275764,556567.8809267242,549.2085504641478,0.013253999815119067
RNN,vader_nonprocessed_data_score,9.492307692307692e-05,1107888.491686228,844.9610417794012,0.046652140744807585,811385.983117816,682.3444624275996,0.01629782401710406
LSTM_GRU,vader_nonprocessed_data_score,7.207692307692308e-05,499943.34804529406,512.5809306795635,0.029126724003285673,345011.1936624461,417.50846205086543,0.00998118460638684
RNN_GRU,vader_nonprocessed_data_score,9.238461538461538e-05,3128352.157163149,1516.3765500992063,0.08279782089923507,996223.8579382184,771.7227435934133,0.018545041909848136
CNN,bert_nonprocessed_data_sentiment_score,3.538461538461538e-06,685172.7368615661,654.3115600762085,0.034015205456279916,1725163.6156609196,1018.8939068673671,0.024261352723871154
GRU,bert_nonprocessed_data_sentiment_score,7.461538461538462e-05,545805.0159951852,579.2178438965549,0.031857122783465135,605664.5488505748,579.0567346331717,0.013868793384867838
LSTM,bert_nonprocessed_data_sentiment_score,0.0003146153846153,1913982.32102123,1064.1010580131674,0.060063792181115266,581874.0088451868,561.4490730022562,0.01340128238923077
RNN,bert_nonprocessed_data_sentiment_score,9.492307692307692e-05,995962.790620658,801.2842529649171,0.04427800219699883,726102.5003591954,641.6508855710084,0.015223419368695253
LSTM_GRU,bert_nonprocessed_data_sentiment_score,6.446153846153846e-05,288089.44436161104,379.15826935651154,0.021648378326824005,334330.2354301365,408.5977478904286,0.009756070639317235
RNN_GRU,bert_nonprocessed_data_sentiment_score,8.73076923076923e-05,2334769.344775223,1241.1541841405124,0.0690212360808601,922701.7088721264,730.6182051033809,0.017380806563914507
CNN,roberta_nonprocessed_data_sentiment_score,5.430769230769231e-05,587025.6745846791,609.7081050459957,0.03342533341815902,1566920.1895653736,936.2468682650862,0.021346367456704037
GRU,roberta_nonprocessed_data_sentiment_score,9.238461538461538e-05,470581.5091479743,552.0680888122295,0.03022465392758043,608829.0783943966,582.3246379282283,0.013875008560717106
LSTM,roberta_nonprocessed_data_sentiment_score,8.615384615384615e-05,592423.5636252532,587.5029635078463,0.032574119312842584,624062.5113595546,590.8186715663164,0.013963100104325119
RNN,roberta_nonprocessed_data_sentiment_score,0.0001,1143811.4748149172,864.6577986900253,0.04786908419747013,804134.4610272988,680.6334088204921,0.016199026481601698
LSTM_GRU,roberta_nonprocessed_data_sentiment_score,8.73076923076923e-05,575965.0076128147,581.3510791508838,0.0324559956356029,372943.4354795259,434.3392102471713,0.010503058744615865
RNN_GRU,roberta_nonprocessed_data_sentiment_score,8.984615384615384e-05,1758680.6165835008,1062.3313238410894,0.059083666717662166,985125.5323275862,760.03768535044,0.018075224600903605
