,network_name,mae_5_100,feature,mae_15_100,mae_30_100,mae_5_500,mae_15_500,mae_30_500
0,CNN,552.0099733049582,Price-Only,559.1146585881496,687.746735457736,588.2483718124627,643.5777749775986,632.9846398502838
1,GRU,493.45309174787184,Price-Only,552.3855321740591,264.1161893527852,820.720606285469,604.380949214083,629.1462626941458
2,LSTM,508.0490358049582,Price-Only,365.688797416368,400.6247368998282,713.9028687836021,564.3478685969235,831.0190715539128
3,LSTM_GRU,1021.8290723939664,Price-Only,983.5590931152929,918.4127989191308,793.525649641577,641.1705484150986,640.9812352990591
4,RNN,1029.6927550029868,Price-Only,832.9059641483722,788.8754550291219,1061.2401982060185,984.4310794224164,896.0944255432348
5,RNN_GRU,959.5149716248508,Price-Only,1001.8250611372462,1040.067375812052,1701.153247974537,1478.6974849723715,1235.713357321535
6,CNN,750.05558154483,Bert,536.3155572183892,540.3421101749146,432.4137032689406,654.3115600762085,845.3774580711391
7,CNN,491.3564080864835,Flair,414.7738651864629,479.1977014118494,401.7954250466566,639.7913848304473,598.9748093536689
8,CNN,716.9817989596569,Roberta,597.8239404367334,604.9723062873294,592.369051902994,609.7081050459957,906.371310393558
9,CNN,693.933462218075,TB_Polarity,547.6590993641775,553.9205351429181,752.0824494222522,1147.1797650049602,797.9658886385453
10,CNN,643.1428107876033,TB_Subjectivity,635.6149180138437,461.3500493280717,506.04248605265246,530.8012032997384,854.8752283089804
11,CNN,655.8205966585928,Vader,592.2932731331168,629.6173308180461,641.5311166067742,471.5718837369228,552.2229428860921
12,GRU,584.6187621604987,Bert,454.0636104347042,370.2777703711604,782.2958810653589,579.2178438965549,541.8983308447099
13,GRU,649.5990187222046,Flair,463.5241181344697,296.78217156836604,665.7451891577986,461.3234676564755,405.9500486614761
14,GRU,598.8564564803049,Roberta,531.8301711309524,480.58158796395054,698.4446871029224,552.0680888122295,486.67271990987626
15,GRU,637.427648755162,TB_Polarity,448.41084252119407,338.3113117934087,753.6775072962993,687.1199692234849,372.9419528583618
16,GRU,625.6543961443774,TB_Subjectivity,502.7463924963925,373.7787869293942,655.0295090632942,715.6519703170094,454.3125766584898
17,GRU,593.5367743408514,Vader,459.60224877119407,423.5606951925128,645.9038365132624,474.601358168741,406.73535822845565
18,LSTM,454.9784542020727,Bert,502.5139614617154,367.5749036769411,574.0128429756988,1064.1010580131674,503.0904970136519
19,LSTM,530.3483182526604,Flair,403.2263060290404,309.860079924808,707.5225155356576,469.055255399982,595.4402347082978
20,LSTM,473.78798356595456,Roberta,384.6598124098124,205.9962970616468,512.8657059045426,587.5029635078463,687.9687616654223
21,LSTM,600.4393166296061,TB_Polarity,392.3080314867424,373.7592206831271,612.2811501101891,593.5459984893579,556.9857215230376
22,LSTM,484.3546615658752,TB_Subjectivity,396.2620935921717,518.0772075978563,732.2611243746029,692.1271433644481,557.8678374306741
23,LSTM,453.0994083545108,Vader,381.7794955695346,349.1018441366254,649.9264128514136,1171.1785545183982,738.6157809833618
24,LSTM_GRU,883.4990432913755,Bert,783.4523076749639,629.1528736934727,559.9361623451398,379.15826935651154,582.9449375399957
25,LSTM_GRU,900.1404661689962,Flair,804.3091376939033,507.1108798394838,582.6404550011912,402.60112001713566,564.2615587670648
26,LSTM_GRU,850.3750186130083,Roberta,713.588765726461,625.4293192059514,506.687008616582,581.3510791508838,491.4660086257466
27,LSTM_GRU,876.8557454633894,TB_Polarity,813.6678489696068,749.6284479655503,586.7576884132783,742.5141580424784,600.2370447152304
28,LSTM_GRU,915.4099204852288,TB_Subjectivity,825.9740020179473,771.0551491174275,703.6200005459816,434.6681054405664,352.9497853562287
29,LSTM_GRU,877.7561187162485,Vader,811.0498610547438,723.1558900383959,783.7194225500318,512.5809306795635,578.8853588950512
30,RNN,898.5702243984276,Bert,468.8502054586039,495.9572145637799,987.331585778669,801.2842529649171,625.5026780476749
31,RNN,815.0283445094108,Flair,453.2140630636724,514.4120018864654,965.5268424396444,858.5930200441919,646.777597056314
32,RNN,969.878254794711,Roberta,502.4190411368146,591.5975945899104,1017.2093007961404,864.6577986900253,732.4285442886093
33,RNN,995.5173709001748,TB_Polarity,491.2970046446609,549.6975639265145,1052.393892203383,831.7469561688312,591.8755799381399
34,RNN,870.6591263302097,TB_Subjectivity,476.9417578406837,474.58857721843,1182.05316247419,868.9858687319625,646.8762082044582
35,RNN,917.7006420246984,Vader,472.73256561147184,547.5831911262799,986.1083810653588,844.9610417794012,687.3625263305247
36,RNN_GRU,720.3450913774619,Bert,580.0145948886184,987.226220869774,1625.2291571533513,1241.1541841405124,1097.019097962884
37,RNN_GRU,1058.6728577668362,Flair,556.5221347120761,1016.5912336017492,1594.124109057338,978.5471483811328,822.5877089777091
38,RNN_GRU,715.175395960729,Roberta,613.6772017045455,1065.9982901823803,1548.4503938512548,1062.3313238410894,1061.447338950512
39,RNN_GRU,633.845008859792,TB_Polarity,576.7235785590278,648.5861791408917,1654.6025415442343,1507.713906644571,1064.0305200778585
40,RNN_GRU,769.3651903242138,TB_Subjectivity,729.5445871944895,796.2818549354736,1625.817657044155,1173.9399280190296,925.615201045222
41,RNN_GRU,783.2017197178765,Vader,674.4376831935426,554.7035316232935,1768.367575891439,1516.3765500992065,983.2076395184514
