,network_name,mae_5_100,feature,mae_15_100,mae_30_100,mae_5_500,mae_15_500,mae_30_500
0,CNN,552.0099733049582,Price-Only,559.1146585881496,687.746735457736,588.2483718124627,643.5777749775986,632.9846398502838
1,GRU,493.45309174787184,Price-Only,552.3855321740591,264.1161893527852,820.720606285469,604.380949214083,629.1462626941458
2,LSTM,508.0490358049582,Price-Only,365.688797416368,400.6247368998282,713.9028687836021,564.3478685969235,831.0190715539128
3,LSTM_GRU,1021.8290723939664,Price-Only,983.5590931152929,918.4127989191308,793.525649641577,641.1705484150986,640.9812352990591
4,RNN,1029.6927550029868,Price-Only,832.9059641483722,788.8754550291219,1061.2401982060185,984.4310794224164,896.0944255432348
5,RNN_GRU,959.5149716248508,Price-Only,1001.8250611372462,1040.067375812052,1701.153247974537,1478.6974849723715,1235.713357321535
6,CNN,740.7025337905687,Bert,628.2808715098002,469.2587925690081,636.3672603028599,559.5252642208302,577.3395281642729
7,CNN,688.2468067159383,Flair,637.7831886788092,525.8812266817213,625.8908189317561,577.8642303647374,474.0085365939184
8,CNN,755.4939140574791,Roberta,603.1883992753791,515.637473525864,674.4746382450996,581.1631401107156,758.6509393935144
9,CNN,546.9958113251124,TB_Polarity,544.4524214705067,520.5681901859851,543.6532857939027,746.2166264099483,404.234820326526
10,CNN,727.182644174767,TB_Subjectivity,594.1202508147652,442.83935546875,609.7289750361504,761.0277020155326,497.81506325740577
11,CNN,701.8385577753454,Vader,534.3610782058987,428.0829709941652,485.85838149200674,845.4460145848742,657.4713009846274
12,GRU,548.0124825524181,Bert,408.5113980445636,300.8293312387792,583.7731036110218,477.4312476886095,346.4532757798474
13,GRU,566.2270306977024,Flair,455.75423562315086,320.610397147105,712.7293089251285,583.593436517659,350.66510217964543
14,GRU,620.7312181173683,Roberta,432.1222812268861,313.29072458482943,618.8875672798844,569.4233412883691,441.1792071083932
15,GRU,630.4622328888174,TB_Polarity,474.07614876109466,325.5136508359515,691.5968202723329,558.3984505015718,468.8418021347621
16,GRU,597.0486963267191,TB_Subjectivity,458.63855052699705,312.71226120679984,766.1969166733612,609.5961133968195,532.9984781754937
17,GRU,674.4313130121304,Vader,425.0286381286982,318.8817693138465,637.6696206217866,666.2778652574889,401.14413676784113
18,LSTM,488.0350093890585,Bert,410.1913686899039,437.6402953882406,851.1270460114074,963.7645400910689,494.7832732551616
19,LSTM,489.0399700253053,Flair,456.4764938805936,247.51320375617144,733.2650475980078,616.6265746348002,563.224835544771
20,LSTM,512.6901598148297,Roberta,236.85974843403287,311.7849248204668,692.47171608893,971.6649451622596,940.9640617986984
21,LSTM,434.86026997308807,TB_Polarity,519.4119114621857,256.7765530324282,502.9103558302539,419.7789545002774,444.3640596947935
22,LSTM,606.3524329962645,TB_Subjectivity,325.47371804502586,369.3726076848631,539.707953837966,854.7079095784023,558.3938159223519
23,LSTM,529.8253107928984,Vader,415.4949481670673,298.44025786860414,735.3844103972526,304.36074666581914,495.0263496549596
24,LSTM_GRU,827.6472324871465,Bert,771.5451226770525,522.322838939071,516.0073079008677,361.6855728781435,276.826259537702
25,LSTM_GRU,810.2662463347526,Flair,747.4609952847633,543.9798621241023,606.72073952643,445.70200975406806,358.9326785513914
26,LSTM_GRU,834.8717715697301,Roberta,761.5666041628143,495.9432121016607,494.1125092886408,431.9815811066938,224.20722936770647
27,LSTM_GRU,875.8992797537757,TB_Polarity,776.8929335012944,680.3205842543762,496.0435963608612,629.6405599921412,464.9436434021544
28,LSTM_GRU,913.3252028438304,TB_Subjectivity,850.6594151604105,692.4846257153276,514.8997705454691,451.1360888960799,296.28092564800266
29,LSTM_GRU,795.0694514178984,Vader,774.5438384106878,491.9436609346948,574.8828099895566,554.0549287513868,520.2632984318896
30,RNN,914.8812215064668,Bert,547.8609749156343,506.3440112348519,1103.5544766227506,761.9477394600592,641.8369158157541
31,RNN,793.8226773377249,Flair,489.8645691279124,480.19903904146094,896.4072566878214,741.7332684217826,630.6777711933348
32,RNN,888.6954505743895,Roberta,587.7697306074334,539.6892365981262,972.8446612909704,899.4042130870932,691.4295472396768
33,RNN,1029.6321723369217,TB_Polarity,675.1802653476332,488.5796696168088,1089.6903192279883,901.6891020825628,644.7486114228008
34,RNN,943.244076608692,TB_Subjectivity,580.3501041570358,529.0480654594928,1164.365130191597,797.8035635863536,730.0064958062163
35,RNN,964.5889060993734,Vader,623.6031328009431,517.6303596975987,1105.456194017111,862.1722506009615,608.4866226716787
36,RNN_GRU,941.1648601934046,Bert,550.0412929918639,646.927730868492,1535.7653212363432,1059.3342776326738,868.8238242678411
37,RNN_GRU,779.5449814980318,Flair,531.9558083799463,692.4554989059695,1251.825181505061,949.275215826091,778.0728196532765
38,RNN_GRU,857.0547107216019,Roberta,528.6111424914478,635.3276112965664,1679.9471363371626,1268.0423360068417,954.56995658943
39,RNN_GRU,749.1979503484496,TB_Polarity,600.2340846315643,677.0298403837522,1686.8944107487146,1351.4577376687314,985.6557836344256
40,RNN_GRU,709.5784262532134,TB_Subjectivity,580.5103174694897,656.7730921089542,1576.672570392834,1202.7721228966343,877.8979220433124
41,RNN_GRU,1000.5467645404884,Vader,641.5506440111872,604.0027175437613,1717.6305932679948,1152.8304927306767,795.4616388016158
