network_name,feature,lr,test_mse_loss,test_mae,test_mape
CNN,flair_nonprocessed_data_score,1e-06,2721646.989908502,1339.7430160984848,0.07182138709251971
CNN,flair_nonprocessed_data_score,3.538461538461538e-06,875380.0543946986,737.8444630456349,0.03773934642944222
CNN,flair_nonprocessed_data_score,6.076923076923077e-06,1782832.373217386,1061.7183265410804,0.05516803262350089
CNN,flair_nonprocessed_data_score,8.615384615384615e-06,668849.4819682948,650.1605388426677,0.034200521424452374
CNN,flair_nonprocessed_data_score,1.1153846153846154e-05,979983.3471214657,778.1848993562861,0.04000216050236116
CNN,flair_nonprocessed_data_score,1.3692307692307692e-05,743644.7845684013,676.432224025974,0.03356265348014738
CNN,flair_nonprocessed_data_score,1.623076923076923e-05,1170745.733574321,862.5118772828733,0.0444211738967252
CNN,flair_nonprocessed_data_score,1.876923076923077e-05,1046606.75178966,812.1224085159632,0.04174648334230545
CNN,flair_nonprocessed_data_score,2.1307692307692308e-05,1785886.075621942,1072.1302484949945,0.054971799555115004
CNN,flair_nonprocessed_data_score,2.3846153846153846e-05,1528997.9954279119,984.5580956044823,0.051074235748115274
CNN,flair_nonprocessed_data_score,2.6384615384615384e-05,1800732.4787115012,1112.7420367176226,0.05336116819204373
CNN,flair_nonprocessed_data_score,2.8923076923076925e-05,925451.8242940531,772.921511431277,0.03966719658249414
CNN,flair_nonprocessed_data_score,3.146153846153846e-05,1342482.529241829,929.2391197127525,0.04771394000814026
CNN,flair_nonprocessed_data_score,3.4e-05,1568673.615280636,988.5811244419643,0.05126726315800278
CNN,flair_nonprocessed_data_score,3.653846153846154e-05,1746210.7066299857,1060.3732723439755,0.0542618973378205
CNN,flair_nonprocessed_data_score,3.9076923076923075e-05,1769665.0673627316,1118.9016786165223,0.05385676992776257
CNN,flair_nonprocessed_data_score,4.161538461538461e-05,1347088.5453604825,948.4053523516415,0.04958032150158167
CNN,flair_nonprocessed_data_score,4.415384615384615e-05,796033.9194431057,705.6099161255411,0.03503361991761201
CNN,flair_nonprocessed_data_score,4.669230769230769e-05,1024617.518016017,800.4197203621031,0.042140189426229435
CNN,flair_nonprocessed_data_score,4.9230769230769225e-05,917177.3215392582,759.032154694264,0.03884608839199412
CNN,flair_nonprocessed_data_score,5.176923076923076e-05,1558997.8233172265,1051.9721806513799,0.05065280072808314
CNN,flair_nonprocessed_data_score,5.430769230769231e-05,1143358.2822686618,869.3862452651515,0.041706780555307285
CNN,flair_nonprocessed_data_score,5.6846153846153845e-05,1051732.8118309912,820.2651649023719,0.043344792159688145
CNN,flair_nonprocessed_data_score,5.938461538461538e-05,2269881.5290300995,1229.2049139554022,0.05757408211421636
CNN,flair_nonprocessed_data_score,6.192307692307693e-05,278264.3388588205,414.77386518646284,0.0210658422838238
CNN,flair_nonprocessed_data_score,6.446153846153846e-05,2423826.5842687655,1279.9368179563492,0.060008006325780454
CNN,flair_nonprocessed_data_score,6.7e-05,652136.9407455202,653.7335365372475,0.03271155284314845
CNN,flair_nonprocessed_data_score,6.953846153846154e-05,855262.3884148756,731.2758810200216,0.04022282543435927
CNN,flair_nonprocessed_data_score,7.207692307692308e-05,1267900.0825862912,922.1252015128969,0.048995687102853264
CNN,flair_nonprocessed_data_score,7.461538461538462e-05,1461502.2635957792,1062.6548055893759,0.05370306592955574
CNN,flair_nonprocessed_data_score,7.715384615384615e-05,1345043.585882674,934.735715131223,0.051266278297861116
CNN,flair_nonprocessed_data_score,7.969230769230769e-05,945716.3717888286,780.9669053819445,0.04300958654523423
CNN,flair_nonprocessed_data_score,8.223076923076923e-05,1165790.164792808,886.155696191829,0.04826030300823975
CNN,flair_nonprocessed_data_score,8.476923076923077e-05,1455293.2708009663,979.7061364200036,0.05439435794029296
CNN,flair_nonprocessed_data_score,8.73076923076923e-05,1843334.8910431745,1122.9465201681999,0.061934456099019604
CNN,flair_nonprocessed_data_score,8.984615384615384e-05,1358136.164109091,958.8024948142136,0.04579261892215143
CNN,flair_nonprocessed_data_score,9.238461538461538e-05,860699.510973029,733.5480812590188,0.04034716190254883
CNN,flair_nonprocessed_data_score,9.492307692307692e-05,1912831.971698183,1186.1589697195166,0.05747476218501442
CNN,flair_nonprocessed_data_score,9.746153846153845e-05,886589.0528739748,732.2237709122475,0.040731649550999525
CNN,flair_nonprocessed_data_score,0.0001,1337515.3135385665,961.0536503427129,0.05301403406148032
GRU,flair_nonprocessed_data_score,1e-06,107146038.41269842,10171.416807584776,0.530863703071297
GRU,flair_nonprocessed_data_score,3.538461538461538e-06,1759469.1432424658,1050.730718175054,0.059234213072223346
GRU,flair_nonprocessed_data_score,6.076923076923077e-06,1174709.64604885,840.4324184929653,0.047415331768440275
GRU,flair_nonprocessed_data_score,8.615384615384615e-06,1313779.71079416,890.069758691829,0.050303009791571165
GRU,flair_nonprocessed_data_score,1.1153846153846154e-05,1004405.5491773817,786.71875,0.04424113320125587
GRU,flair_nonprocessed_data_score,1.3692307692307692e-05,1384906.7763550498,903.8569653003246,0.05114890485292641
GRU,flair_nonprocessed_data_score,1.623076923076923e-05,841268.340331767,723.0221241432179,0.04044350821788263
GRU,flair_nonprocessed_data_score,1.876923076923077e-05,1011564.8251762803,779.1278394999098,0.043797528748052775
GRU,flair_nonprocessed_data_score,2.1307692307692308e-05,780619.9958025614,703.6413366364538,0.03926036517831435
GRU,flair_nonprocessed_data_score,2.3846153846153846e-05,1234133.6967258425,863.1320473146645,0.04856773118671093
GRU,flair_nonprocessed_data_score,2.6384615384615384e-05,1056810.9505149683,810.5686031633297,0.04541075294185564
GRU,flair_nonprocessed_data_score,2.8923076923076925e-05,1421221.4106406395,934.9143386994949,0.05261355675896991
GRU,flair_nonprocessed_data_score,3.146153846153846e-05,602380.5961142976,605.5011541193181,0.03376797273063637
GRU,flair_nonprocessed_data_score,3.4e-05,1513161.8418856976,962.5459886250902,0.054449418149823
GRU,flair_nonprocessed_data_score,3.653846153846154e-05,955353.5799605025,766.2315199990982,0.043048720680804474
GRU,flair_nonprocessed_data_score,3.9076923076923075e-05,810016.9367320844,703.2697412179834,0.03949657335857596
GRU,flair_nonprocessed_data_score,4.161538461538461e-05,747667.7594162142,680.8657726821789,0.037808211328094546
GRU,flair_nonprocessed_data_score,4.415384615384615e-05,750576.2381802293,682.9455985637626,0.03817617023564623
