network_name,price_past,lr,test_mse_loss,test_mae,test_mape
CNN,5,1e-06,7812188.101449062,2406.046381468414,0.1345039811824713
CNN,5,3.538461538461538e-06,3515375.84747448,1484.159994072954,0.0810183844052165
CNN,5,6.076923076923077e-06,699958.5529765969,679.1965784143518,0.03665517465792363
CNN,5,8.615384615384615e-06,609745.8019381241,626.0714045698925,0.03342396386248992
CNN,5,1.1153846153846154e-05,834805.8437649444,733.151940057497,0.040596392684228065
CNN,5,1.3692307692307692e-05,1810406.285833434,1060.4956060521206,0.055877179952052845
CNN,5,1.623076923076923e-05,590881.6622331818,607.452476291816,0.03183660901419182
CNN,5,1.876923076923077e-05,1240643.5052823257,894.1637066438918,0.048194362443005706
CNN,5,2.1307692307692308e-05,708933.0464488614,683.5880166330645,0.03542710840268716
CNN,5,2.3846153846153846e-05,1789735.4961123678,1070.4649639243578,0.05735603052040067
CNN,5,2.6384615384615384e-05,1032117.8236288985,852.4330080458483,0.04551145321304068
CNN,5,2.8923076923076925e-05,1362980.5791716126,953.8371240759409,0.04846910127360751
CNN,5,3.146153846153846e-05,873200.3746624562,737.4419382840501,0.038270547369147596
CNN,5,3.4e-05,1125827.4815240675,862.711568707064,0.04395187282083229
CNN,5,3.653846153846154e-05,906347.1240615252,770.7803119399641,0.03994700890387195
CNN,5,3.9076923076923075e-05,2211709.292834807,1197.9504741636797,0.058732284880664676
CNN,5,4.161538461538461e-05,1164048.3163877416,890.939366786141,0.04665327901637494
CNN,5,4.415384615384615e-05,1196728.3100802696,882.2465604465352,0.0446123180379913
CNN,5,4.669230769230769e-05,954260.0097349035,771.1614700007467,0.03981499618866031
CNN,5,4.9230769230769225e-05,1735455.8246175796,1058.1217179566158,0.0555282824271077
CNN,5,5.176923076923076e-05,1232159.73600028,881.1873704917115,0.04705636289307346
CNN,5,5.430769230769231e-05,1583344.4168434509,1028.0771822729987,0.052510836742115416
CNN,5,5.6846153846153845e-05,1126381.1954729862,843.3194047752389,0.044327295506410604
CNN,5,5.938461538461538e-05,1134684.434646538,860.2577786645012,0.043946160387247524
CNN,5,6.192307692307693e-05,1333844.2091448111,929.6075828853046,0.04688057147400216
CNN,5,6.446153846153846e-05,1233058.411813164,880.06283135454,0.04570530191683563
CNN,5,6.7e-05,1033831.7950783004,810.6407428408752,0.04223162580978291
CNN,5,6.953846153846154e-05,3053434.0509750796,1435.555998917264,0.07032153430583152
CNN,5,7.207692307692308e-05,1839074.1602465766,1097.7955285804958,0.054216021622754594
CNN,5,7.461538461538462e-05,3743072.895028865,1774.5356042786739,0.091260712086963
CNN,5,7.715384615384615e-05,1506382.5855464456,987.5360873095879,0.049337618473706685
CNN,5,7.969230769230769e-05,2363575.316844945,1243.3294749197282,0.06250127673453638
CNN,5,8.223076923076923e-05,1839971.523936578,1103.8482069519116,0.05579779484956673
CNN,5,8.476923076923077e-05,1561201.4126306213,990.0097457903972,0.05161511088880395
CNN,5,8.73076923076923e-05,1851803.4790859746,1116.3887465464456,0.059786828728235555
CNN,5,8.984615384615384e-05,2584267.933099954,1369.942641829077,0.06999673197964101
CNN,5,9.238461538461538e-05,1557721.1620123258,1027.0762733814963,0.05332346452083528
CNN,5,9.492307692307692e-05,2386448.9632474794,1246.335944500448,0.061720421189719266
CNN,5,9.746153846153845e-05,814210.8851599471,715.6504372946536,0.03563708491804075
CNN,5,0.0001,2451492.6229342115,1303.4163166442652,0.06414692160310981
GRU,5,1e-06,152836492.4348865,12258.510273157483,0.6556165703664686
GRU,5,3.538461538461538e-06,1474297.588641332,973.4226882187127,0.05657623300631086
GRU,5,6.076923076923077e-06,972643.0563215486,808.3908828498357,0.04650917586106055
GRU,5,8.615384615384615e-06,1392411.4421503758,964.7138275182945,0.055689275950380965
GRU,5,1.1153846153846154e-05,1088349.166782329,861.764972791592,0.04951534131660593
GRU,5,1.3692307692307692e-05,861291.1966085536,784.6062703012993,0.044658011443162754
GRU,5,1.623076923076923e-05,963750.1374684861,822.5977344216697,0.04690426933665589
GRU,5,1.876923076923077e-05,1112973.8094469204,878.4656943044355,0.050329030904772136
GRU,5,2.1307692307692308e-05,782128.6392227638,750.0503203871715,0.04257736687737077
GRU,5,2.3846153846153846e-05,585138.1632521662,657.1771825063471,0.03692036453560472
GRU,5,2.6384615384615384e-05,1496183.0619510026,1029.339060866562,0.05879848186964165
GRU,5,2.8923076923076925e-05,812176.6467837626,772.4703566028226,0.043529676086682435
GRU,5,3.146153846153846e-05,918549.8804281821,816.388834052046,0.046251018226360616
GRU,5,3.4e-05,466390.2350849484,577.8170491244773,0.032553549116059975
GRU,5,3.653846153846154e-05,629295.1016113664,704.0944932142323,0.03901473515949506
GRU,5,3.9076923076923075e-05,842028.2205592922,786.2864268313172,0.04444264911791199
GRU,5,4.161538461538461e-05,961436.7502262384,853.346938704077,0.04801523426901517
GRU,5,4.415384615384615e-05,1041086.9281049704,895.6608457941309,0.05020510502939835
GRU,5,4.669230769230769e-05,1054166.7240935613,877.5447923667115,0.049652574436299994
GRU,5,4.9230769230769225e-05,787641.3740984143,757.648188984095,0.04286899123725623
GRU,5,5.176923076923076e-05,752098.0647306727,756.7025124607975,0.042430183716685194
GRU,5,5.430769230769231e-05,631208.4369039866,704.5548800123208,0.03908232648272705
GRU,5,5.6846153846153845e-05,795488.4434735425,791.7249232284199,0.0441797495054879
GRU,5,5.938461538461538e-05,711077.6782725117,763.4032969776732,0.042003367158914194
GRU,5,6.192307692307693e-05,957310.4777398742,896.2058726758513,0.04928000382791143
GRU,5,6.446153846153846e-05,1118768.0295646468,964.7031961712216,0.05315292460591027
GRU,5,6.7e-05,1026580.0848503615,897.6829812107975,0.05016942339457431
GRU,5,6.953846153846154e-05,947239.0135190684,874.0373205551822,0.04846905430102484
GRU,5,7.207692307692308e-05,744216.3092437525,771.1505504685633,0.04267514182534305
GRU,5,7.461538461538462e-05,388032.4236219399,529.9844438377389,0.029630989359696675
GRU,5,7.715384615384615e-05,816156.3132403885,824.1224180014187,0.0450843932330881
GRU,5,7.969230769230769e-05,522060.59911010996,639.597811426598,0.035370418258519214
GRU,5,8.223076923076923e-05,1014112.260945948,899.2199482433542,0.05005667419810535
GRU,5,8.476923076923077e-05,823427.5215730155,848.340236941831,0.04585641140616979
