network_name,feature,lr,test_mse_loss,test_mae,test_mape
CNN,flair_nonprocessed_data_score,1e-06,21649379.207566373,4288.412034922967,0.23191494493197362
CNN,flair_nonprocessed_data_score,3.538461538461538e-06,1324946.456800216,893.5475121853161,0.04699777988992097
CNN,flair_nonprocessed_data_score,6.076923076923077e-06,761022.4977070325,693.8168424148269,0.03647129402541481
CNN,flair_nonprocessed_data_score,8.615384615384615e-06,735133.6952142413,676.2803348604273,0.03580419947810011
CNN,flair_nonprocessed_data_score,1.1153846153846154e-05,1667565.1526151898,1020.2035326248808,0.05362174560001127
CNN,flair_nonprocessed_data_score,1.3692307692307692e-05,1222317.2482052406,878.5133287752144,0.046335233207093846
CNN,flair_nonprocessed_data_score,1.623076923076923e-05,1195735.3600917172,869.2830765565438,0.04566448447929122
CNN,flair_nonprocessed_data_score,1.876923076923077e-05,1076246.908484957,822.6287877471807,0.04282209587850273
CNN,flair_nonprocessed_data_score,2.1307692307692308e-05,1763510.353725099,1067.1713749305115,0.05617800813770037
CNN,flair_nonprocessed_data_score,2.3846153846153846e-05,1046917.0342710852,818.418403053526,0.04218363631999663
CNN,flair_nonprocessed_data_score,2.6384615384615384e-05,989348.0947364895,792.5361210242614,0.04113311286225176
CNN,flair_nonprocessed_data_score,2.8923076923076925e-05,1063821.1503399045,818.6252233560991,0.04186602497208281
CNN,flair_nonprocessed_data_score,3.146153846153846e-05,917987.4718588378,764.4930015088945,0.03994309621625799
CNN,flair_nonprocessed_data_score,3.4e-05,1619310.6254164274,1007.0466739795108,0.052881828029705105
CNN,flair_nonprocessed_data_score,3.653846153846154e-05,2424024.583707041,1235.6006684551699,0.06508882167563315
CNN,flair_nonprocessed_data_score,3.9076923076923075e-05,1607700.6685768913,1007.153526296458,0.05306000399031692
CNN,flair_nonprocessed_data_score,4.161538461538461e-05,2008058.5676303655,1143.7808101125715,0.05990444718217513
CNN,flair_nonprocessed_data_score,4.415384615384615e-05,2217456.8210340645,1198.5324952102526,0.062314910063605275
CNN,flair_nonprocessed_data_score,4.669230769230769e-05,1051969.7201003737,812.5002723703542,0.042649963298478796
CNN,flair_nonprocessed_data_score,4.9230769230769225e-05,1450690.605860554,964.2912743458148,0.0495262602235432
CNN,flair_nonprocessed_data_score,5.176923076923076e-05,1582631.804661752,1042.8924236370315,0.05449876619110611
CNN,flair_nonprocessed_data_score,5.430769230769231e-05,1391695.2995339457,935.9824671666535,0.048769977791477445
CNN,flair_nonprocessed_data_score,5.6846153846153845e-05,2081518.0962429023,1152.2604449998014,0.0596984525422981
CNN,flair_nonprocessed_data_score,5.938461538461538e-05,1659126.7238344534,1022.1307681712595,0.05331088105758612
CNN,flair_nonprocessed_data_score,6.192307692307693e-05,1720505.8416070223,1057.689854545545,0.05611415919250178
CNN,flair_nonprocessed_data_score,6.446153846153846e-05,1227169.8244551353,903.3272650790184,0.0458862400782949
CNN,flair_nonprocessed_data_score,6.7e-05,1392293.5874917638,945.0144064683926,0.04882714828343771
CNN,flair_nonprocessed_data_score,6.953846153846154e-05,1476547.8363813427,978.3025991204734,0.04931860007543893
CNN,flair_nonprocessed_data_score,7.207692307692308e-05,1807020.8593045808,1060.913973777994,0.054099033677801396
CNN,flair_nonprocessed_data_score,7.461538461538462e-05,1273537.0553710628,897.5974744629526,0.04650565080407988
CNN,flair_nonprocessed_data_score,7.715384615384615e-05,1689097.4236965931,1057.4142262944727,0.05410544564734477
CNN,flair_nonprocessed_data_score,7.969230769230769e-05,1667035.9442833557,1038.901457770807,0.05148281803158771
CNN,flair_nonprocessed_data_score,8.223076923076923e-05,1089768.9755484012,829.1454829951557,0.042945657753216376
CNN,flair_nonprocessed_data_score,8.476923076923077e-05,1781200.7917905466,1067.5389353111102,0.05690967507797661
CNN,flair_nonprocessed_data_score,8.73076923076923e-05,1838824.4494632396,1087.6207264533036,0.05550847521342877
CNN,flair_nonprocessed_data_score,8.984615384615384e-05,1438280.1253204152,981.2465857538516,0.04743238490007124
CNN,flair_nonprocessed_data_score,9.238461538461538e-05,3622276.1654150453,1495.884988981099,0.07004797678166265
CNN,flair_nonprocessed_data_score,9.492307692307692e-05,1392749.132723468,967.630762587357,0.04870077729251193
CNN,flair_nonprocessed_data_score,9.746153846153845e-05,387429.93131117476,491.3564080864835,0.025589111707057317
CNN,flair_nonprocessed_data_score,0.0001,3346382.362322525,1511.8111939872538,0.07186959260998334
GRU,flair_nonprocessed_data_score,1e-06,207192926.3939009,14210.232227058847,0.7543000926132275
GRU,flair_nonprocessed_data_score,3.538461538461538e-06,2814295.681806901,1390.1027065795743,0.07867915854372766
