network_name,price_past,lr,test_mse_loss,test_mae,test_mape
RNN_GRU,15,6.953846153846154e-05,2378729.983249678,1303.7198368195563,0.07444215465986294
RNN_GRU,15,7.207692307692308e-05,2801662.243830855,1375.4130591024493,0.07912329368859645
RNN_GRU,15,7.461538461538462e-05,1480423.375996397,1031.6001438883754,0.058542137966950826
RNN_GRU,15,7.715384615384615e-05,3525120.073424199,1515.59393755367,0.08761346696824805
RNN_GRU,15,7.969230769230769e-05,2202522.6210587476,1204.7598805490218,0.06948728145744425
RNN_GRU,15,8.223076923076923e-05,2047840.5165350582,1183.9988602395554,0.06797675058922176
RNN_GRU,15,8.476923076923077e-05,2236516.682653065,1232.6198845684457,0.07094976308075722
RNN_GRU,15,8.73076923076923e-05,1651869.5234240824,1069.5079122563843,0.061211418974677294
RNN_GRU,15,8.984615384615384e-05,1761477.9559435553,1101.6740409094516,0.06313219479034268
RNN_GRU,15,9.238461538461538e-05,2300617.02732129,1239.2727569981146,0.07152667436278631
RNN_GRU,15,9.492307692307692e-05,2990945.3127292646,1410.3822679234804,0.08160831642964701
RNN_GRU,15,9.746153846153845e-05,3132168.274121794,1441.3548422099013,0.08347089442935202
RNN_GRU,15,0.0001,4034067.1990349884,1668.4271577130937,0.09610298211328026
CNN,30,1e-06,1873279.4721662186,1084.3733757502148,0.057895530795226746
CNN,30,3.538461538461538e-06,584018.8527222408,597.7662502275145,0.03252855618400866
CNN,30,6.076923076923077e-06,476778.0638318352,549.1740673069743,0.02990868791749783
CNN,30,8.615384615384615e-06,832632.5246579114,731.1394317152965,0.03973014844946447
CNN,30,1.1153846153846154e-05,898012.6130315673,765.6497945660188,0.04090678459422812
CNN,30,1.3692307692307692e-05,1069376.4830589157,856.7040258701556,0.04693229627220256
CNN,30,1.623076923076923e-05,1088367.468203965,837.9373672831728,0.045123004237703955
CNN,30,1.876923076923077e-05,1003651.57380339,806.6372191361913,0.042662433251791955
CNN,30,2.1307692307692308e-05,838670.9255245669,738.2903008500878,0.03901639597083185
CNN,30,2.3846153846153846e-05,803599.6557786365,719.8627703631365,0.03750076322296685
CNN,30,2.6384615384615384e-05,1060446.4843516652,862.2152805487884,0.045709105962920785
CNN,30,2.8923076923076925e-05,1045802.0996023746,831.6851272856463,0.04409992038589438
CNN,30,3.146153846153846e-05,980603.6722203555,801.5502129011256,0.04178711701197863
CNN,30,3.4e-05,960681.8066476254,797.2334836096177,0.041728007266678475
CNN,30,3.653846153846154e-05,1081696.526802382,833.0301992035824,0.045471279436261745
CNN,30,3.9076923076923075e-05,3154003.8866207437,1437.4987877557496,0.08090566311214062
CNN,30,4.161538461538461e-05,1219995.768033154,897.6767734176653,0.0448540980196608
CNN,30,4.415384615384615e-05,1069301.1580141129,823.581639808281,0.043023648149953665
CNN,30,4.669230769230769e-05,1075663.3957166593,856.6285859795026,0.04536677295344313
CNN,30,4.9230769230769225e-05,970851.1780540622,801.0717125896057,0.040208608071178445
CNN,30,5.176923076923076e-05,1535869.174040472,1018.0237102257878,0.05324470689976443
CNN,30,5.430769230769231e-05,1500040.1209864097,1008.8203031660693,0.0518579500902048
CNN,30,5.6846153846153845e-05,1750589.613290584,1169.7335403424152,0.05923751736863148
CNN,30,5.938461538461538e-05,1412644.5207213261,1003.4103575128809,0.05326649863851505
CNN,30,6.192307692307693e-05,1442415.6511816757,1018.8499001852786,0.05333939275794452
