network_name,feature,lr,test_mse_loss,test_mae,test_mape
CNN,flair_processed_data_score,1e-06,2385564.611098694,1217.133907053342,0.06368198902441866
CNN,flair_processed_data_score,3.538461538461538e-06,1127977.437966153,842.2705655526993,0.04442833191380749
CNN,flair_processed_data_score,6.076923076923077e-06,1535715.9876949585,985.3673569549326,0.05228668738458893
CNN,flair_processed_data_score,8.615384615384615e-06,2182772.779462963,1178.5384361443605,0.06130895960923507
CNN,flair_processed_data_score,1.1153846153846154e-05,1930270.6720969009,1112.9519927900064,0.05871189351521006
CNN,flair_processed_data_score,1.3692307692307692e-05,1196635.1758510128,873.5175454892352,0.04589996215533333
CNN,flair_processed_data_score,1.623076923076923e-05,2140682.8444076627,1156.1524215737468,0.06073391327380188
CNN,flair_processed_data_score,1.876923076923077e-05,1370680.755494586,952.3997052739396,0.04638356243852083
CNN,flair_processed_data_score,2.1307692307692308e-05,1570990.0473794863,1033.5291399722846,0.05391403716062776
CNN,flair_processed_data_score,2.3846153846153846e-05,2830759.6897274596,1346.79465953366,0.07131452061491256
CNN,flair_processed_data_score,2.6384615384615384e-05,2804061.1059336625,1345.6105536531973,0.07267909136638276
CNN,flair_processed_data_score,2.8923076923076925e-05,1962481.5437078255,1108.4796704289845,0.05811528275924988
CNN,flair_processed_data_score,3.146153846153846e-05,1753779.0613750909,1074.2634534664203,0.05356174903717682
CNN,flair_processed_data_score,3.4e-05,1250276.1875094827,894.8811028880141,0.04680287480304799
CNN,flair_processed_data_score,3.653846153846154e-05,1993258.2247030803,1144.4220381788239,0.060066431021140815
CNN,flair_processed_data_score,3.9076923076923075e-05,2270174.738203495,1199.6500692882391,0.0644180804816516
CNN,flair_processed_data_score,4.161538461538461e-05,1774484.1277638266,1050.4850252048523,0.053406488267587156
CNN,flair_processed_data_score,4.415384615384615e-05,1664663.9692885,1034.6011671051574,0.05406294561222487
CNN,flair_processed_data_score,4.669230769230769e-05,1630198.2328210159,1046.6763724594311,0.054346936304250505
CNN,flair_processed_data_score,4.9230769230769225e-05,2016921.7965926782,1152.8092753353953,0.061710634575607576
CNN,flair_processed_data_score,5.176923076923076e-05,1671435.802766795,1040.1505425068285,0.05544712109709171
CNN,flair_processed_data_score,5.430769230769231e-05,3125789.7858421504,1457.7206767653438,0.07206212120249766
CNN,flair_processed_data_score,5.6846153846153845e-05,1914733.6023167411,1135.1308932659865,0.05614662015060044
CNN,flair_processed_data_score,5.938461538461538e-05,1237329.0405767485,895.0890115379981,0.04690409792453014
CNN,flair_processed_data_score,6.192307692307693e-05,9800010.402610367,2741.3115887090294,0.13261878049693304
CNN,flair_processed_data_score,6.446153846153846e-05,2674045.2755666696,1382.3967555028921,0.06870745779244064
CNN,flair_processed_data_score,6.7e-05,3834668.0831767037,1609.7783504378212,0.07754049504940114
CNN,flair_processed_data_score,6.953846153846154e-05,3172558.477477607,1450.7067990339813,0.07019332250684225
CNN,flair_processed_data_score,7.207692307692308e-05,5389350.925163132,2022.7644689407937,0.09892161974666776
CNN,flair_processed_data_score,7.461538461538462e-05,1204913.3337405922,875.0388164765424,0.04624017607895771
CNN,flair_processed_data_score,7.715384615384615e-05,5561521.854527613,1914.4577555129338,0.08995997157609384
CNN,flair_processed_data_score,7.969230769230769e-05,1081157.2704436982,827.7798228129017,0.04323107705010343
CNN,flair_processed_data_score,8.223076923076923e-05,5005239.203763011,1864.1453094874678,0.0892332799979095
CNN,flair_processed_data_score,8.476923076923077e-05,693715.1999904197,656.5695932579531,0.03415005720681903
CNN,flair_processed_data_score,8.73076923076923e-05,2747140.611549289,1331.293438202924,0.06299377854916166
CNN,flair_processed_data_score,8.984615384615384e-05,9216838.092631126,2676.6876958145886,0.12935490934624141
CNN,flair_processed_data_score,9.238461538461538e-05,7814815.404400549,2389.362897152153,0.11430884276188738
CNN,flair_processed_data_score,9.492307692307692e-05,2564035.32204221,1363.6083871405044,0.06617629469469052
CNN,flair_processed_data_score,9.746153846153845e-05,1985762.513712807,1150.5768396529563,0.0563330046623373
CNN,flair_processed_data_score,0.0001,1417042.3751986094,946.0387788198907,0.049595826440362846
GRU,flair_processed_data_score,1e-06,214628156.27763495,14442.060722606042,0.7673296504737785
GRU,flair_processed_data_score,3.538461538461538e-06,1754235.3347884032,1067.41871937259,0.06130732545744512
GRU,flair_processed_data_score,6.076923076923077e-06,920140.5596621889,772.8097134077764,0.043773813672279366
GRU,flair_processed_data_score,8.615384615384615e-06,676881.5529013979,662.6535588046272,0.03736892340139631
GRU,flair_processed_data_score,1.1153846153846154e-05,1198514.3194740708,882.616464492288,0.05007041265604939
GRU,flair_processed_data_score,1.3692307692307692e-05,821434.9995174604,744.4088709029563,0.04176699588376275
GRU,flair_processed_data_score,1.623076923076923e-05,1177310.9902395823,883.848903940392,0.0501835148696789
GRU,flair_processed_data_score,1.876923076923077e-05,1270207.2664479252,917.0889952201156,0.052021657995362514
GRU,flair_processed_data_score,2.1307692307692308e-05,724221.6269145759,713.3054845657937,0.03954081123419806
GRU,flair_processed_data_score,2.3846153846153846e-05,901307.712485154,785.2805696698265,0.043959759874119
GRU,flair_processed_data_score,2.6384615384615384e-05,911286.6668132448,804.5172592986826,0.04486671473299896
GRU,flair_processed_data_score,2.8923076923076925e-05,812806.560088474,743.545288399743,0.04171231208807947
GRU,flair_processed_data_score,3.146153846153846e-05,557569.5291521273,619.9424028960476,0.03429760027452328
GRU,flair_processed_data_score,3.4e-05,911531.1255711308,790.3630226743252,0.04438210322250726
GRU,flair_processed_data_score,3.653846153846154e-05,746482.1288251852,718.6458492328085,0.04018505561203444
GRU,flair_processed_data_score,3.9076923076923075e-05,643696.9291635038,669.4204490681234,0.03715592606343969
GRU,flair_processed_data_score,4.161538461538461e-05,875487.8598078602,784.1606633595759,0.04379960235743187
GRU,flair_processed_data_score,4.415384615384615e-05,915674.7268345546,792.7303758635926,0.0446370574636533
GRU,flair_processed_data_score,4.669230769230769e-05,897120.996938828,808.6924079169345,0.0448607361442396
GRU,flair_processed_data_score,4.9230769230769225e-05,707853.1919693248,730.1872841018637,0.039875119436962606
GRU,flair_processed_data_score,5.176923076923076e-05,525033.6660928555,609.8795313504178,0.03359264391234427
GRU,flair_processed_data_score,5.430769230769231e-05,624481.3045261893,679.4821632993252,0.037582748875718185
GRU,flair_processed_data_score,5.6846153846153845e-05,1030768.1243918646,861.5087112387532,0.0481438102451699
GRU,flair_processed_data_score,5.938461538461538e-05,837604.0226967917,775.6989526429949,0.04316188691792636
GRU,flair_processed_data_score,6.192307692307693e-05,606889.5005978483,667.3267794023136,0.03681920426860109
GRU,flair_processed_data_score,6.446153846153846e-05,698254.0698938884,720.8950634640103,0.0398151593073441
GRU,flair_processed_data_score,6.7e-05,537245.8175584651,627.1132661873394,0.034661626792512834
GRU,flair_processed_data_score,6.953846153846154e-05,818284.983105201,770.4668847405205,0.04283453394151754
GRU,flair_processed_data_score,7.207692307692308e-05,1112195.5805078375,901.5529552940231,0.05037740623762512
GRU,flair_processed_data_score,7.461538461538462e-05,829285.5096561314,789.4639173963689,0.043526477815518695
GRU,flair_processed_data_score,7.715384615384615e-05,932669.4099808524,832.8491600056234,0.04613641312433847
GRU,flair_processed_data_score,7.969230769230769e-05,843362.9843229671,797.1819745139782,0.04422423009593125
GRU,flair_processed_data_score,8.223076923076923e-05,785295.6959782334,755.178439809608,0.0420161415254779
GRU,flair_processed_data_score,8.476923076923077e-05,536280.4530601845,629.7632124638496,0.034369886054727426
GRU,flair_processed_data_score,8.73076923076923e-05,961621.9593498945,860.6136251807519,0.047566324037185054
GRU,flair_processed_data_score,8.984615384615384e-05,690595.5771510411,738.5049129378214,0.04017264573370092
GRU,flair_processed_data_score,9.238461538461538e-05,1361664.4472728916,1025.9522639178986,0.056786326390754295
GRU,flair_processed_data_score,9.492307692307692e-05,1299703.1297158583,1029.6024988954048,0.05580340170696886
GRU,flair_processed_data_score,9.746153846153845e-05,736401.4709041811,739.4182298361183,0.04081811488157208
GRU,flair_processed_data_score,0.0001,779182.8766675228,768.0729359133998,0.042397841585438384
LSTM,flair_processed_data_score,1e-05,3141876.005031272,1445.952617890424,0.08300321533947927
LSTM,flair_processed_data_score,3.538461538461538e-05,689167.9433061703,681.6694674847365,0.038439587316318545
LSTM,flair_processed_data_score,6.0769230769230765e-05,552172.4277668489,603.906571336761,0.03385177873028472
LSTM,flair_processed_data_score,8.615384615384615e-05,594991.3015912505,635.9659131989074,0.03517635087077123
LSTM,flair_processed_data_score,0.00011153846153846153,729760.6989783113,704.517668500964,0.0396961339288434
LSTM,flair_processed_data_score,0.0001369230769230769,503849.04142283165,602.1985308884962,0.03294089546038905
LSTM,flair_processed_data_score,0.0001623076923076923,606854.0035253735,679.2563426353631,0.03408662426644343
LSTM,flair_processed_data_score,0.00018769230769230769,647874.5274954161,703.5974579249679,0.03586825304085728
LSTM,flair_processed_data_score,0.00021307692307692306,1216216.4549086113,920.667263315392,0.05204857734779136
LSTM,flair_processed_data_score,0.00023846153846153844,1019912.2184584845,927.028704410347,0.04921804282787405
LSTM,flair_processed_data_score,0.00026384615384615384,446106.8306421952,556.767976030286,0.03011217440150356
LSTM,flair_processed_data_score,0.0002892307692307692,1115971.0383191784,972.129299134399,0.048896739042897805
LSTM,flair_processed_data_score,0.00031461538461538465,752908.9142487631,812.8534905205655,0.04337696513997667
LSTM,flair_processed_data_score,0.00034,1800336.3109920865,1272.783710234576,0.06809863323841966
LSTM,flair_processed_data_score,0.0003653846153846154,550851.54435222,636.721042034865,0.035359042069557034
LSTM,flair_processed_data_score,0.0003907692307692308,1398179.559160056,1064.428010523779,0.05225769781650003
LSTM,flair_processed_data_score,0.00041615384615384615,1873423.393401732,1305.7488376646852,0.06845036848018168
LSTM,flair_processed_data_score,0.00044153846153846153,1516385.5989616807,1197.0754664403921,0.06116769755927123
LSTM,flair_processed_data_score,0.0004669230769230769,1122149.7035040732,874.3874053562821,0.041198572598332345
LSTM,flair_processed_data_score,0.0004923076923076923,2364705.616123072,1520.1339936636407,0.0790741175860837
LSTM,flair_processed_data_score,0.0005176923076923077,1393381.814221105,1071.8561038921914,0.05293644773702025
LSTM,flair_processed_data_score,0.000543076923076923,2982580.2943356866,1681.150145856764,0.08962534756488275
LSTM,flair_processed_data_score,0.0005684615384615384,1238482.1595964995,997.7676157816517,0.05027400783639028
LSTM,flair_processed_data_score,0.0005938461538461538,1689418.1910918953,1242.357467062982,0.0656826332800155
LSTM,flair_processed_data_score,0.0006192307692307693,1480786.0437327093,1121.846363371626,0.060043258789105575
LSTM,flair_processed_data_score,0.0006446153846153846,611647.3158976253,626.244208406973,0.030327898304712875
LSTM,flair_processed_data_score,0.00067,1235925.5290461064,1044.7667471682198,0.05447520955307608
LSTM,flair_processed_data_score,0.0006953846153846154,970028.9782763532,848.1115841902314,0.046452190627504
LSTM,flair_processed_data_score,0.0007207692307692308,406403.92341526493,563.3867840215296,0.03071076855605502
LSTM,flair_processed_data_score,0.0007461538461538462,295019.28586085595,463.94020876847685,0.023800060177266935
LSTM,flair_processed_data_score,0.0007715384615384615,995328.1416311827,891.9508304546915,0.04868484197080934
LSTM,flair_processed_data_score,0.0007969230769230769,426655.1795554762,560.9322569388656,0.029239293267279642
LSTM,flair_processed_data_score,0.0008223076923076923,698446.5872210574,751.2989900486021,0.0401893709342992
LSTM,flair_processed_data_score,0.0008476923076923077,608879.2540659818,627.3571432157777,0.030149269154086437
LSTM,flair_processed_data_score,0.000873076923076923,1188080.99050818,980.897031651671,0.052983684790892896
LSTM,flair_processed_data_score,0.0008984615384615384,491495.8718295698,621.46875,0.032619274404924306
LSTM,flair_processed_data_score,0.0009238461538461538,1000162.6450088815,870.9475995139782,0.0446118519561012
LSTM,flair_processed_data_score,0.0009492307692307692,974179.9987585858,914.6038344513174,0.04835274317981149
LSTM,flair_processed_data_score,0.0009746153846153845,2046265.7374370545,1183.1408936174487,0.06743839446510305
LSTM,flair_processed_data_score,0.001,565949.9761729203,680.8927802156973,0.03454366282283557
RNN,flair_processed_data_score,1e-06,104602131.26992288,10053.958063042255,0.5369952489217327
RNN,flair_processed_data_score,3.538461538461538e-06,1923304.8094729935,1159.925013054306,0.06484342560674553
RNN,flair_processed_data_score,6.076923076923077e-06,1434217.5926913873,979.0571602867931,0.05451804803330319
RNN,flair_processed_data_score,8.615384615384615e-06,917316.4078325551,800.3219279703567,0.044007749054897405
RNN,flair_processed_data_score,1.1153846153846154e-05,957434.4704470548,816.3728498051896,0.044383216679519985
RNN,flair_processed_data_score,1.3692307692307692e-05,1468622.9255725744,1012.2273683523457,0.056181928690388315
RNN,flair_processed_data_score,1.623076923076923e-05,1019524.3409959896,851.3285191396208,0.046650654315938164
RNN,flair_processed_data_score,1.876923076923077e-05,906484.6996544444,809.9102340737468,0.04368679003140908
RNN,flair_processed_data_score,2.1307692307692308e-05,1003122.2630656912,843.9451342585154,0.04617928389355404
RNN,flair_processed_data_score,2.3846153846153846e-05,1082205.2539443823,905.0135990721401,0.048663793205123325
RNN,flair_processed_data_score,2.6384615384615384e-05,915627.0311749368,810.0145342123233,0.04257521096698235
RNN,flair_processed_data_score,2.8923076923076925e-05,1296673.1633949035,972.8267291934447,0.05292738855573086
RNN,flair_processed_data_score,3.146153846153846e-05,1040122.3571787346,861.0590983491323,0.04577866288432899
RNN,flair_processed_data_score,3.4e-05,1154966.853332088,913.9216201899903,0.049119933503697887
RNN,flair_processed_data_score,3.653846153846154e-05,1114677.988773091,927.5047372067802,0.04814599994774642
RNN,flair_processed_data_score,3.9076923076923075e-05,1408850.4390811136,1049.1396609897172,0.055828957992847074
RNN,flair_processed_data_score,4.161538461538461e-05,1147071.6281575102,939.2099283017352,0.04860542462020933
RNN,flair_processed_data_score,4.415384615384615e-05,1243483.1634955467,946.7462242930591,0.04717666205761842
RNN,flair_processed_data_score,4.669230769230769e-05,1091135.2105528384,895.5461469714011,0.04795161414512009
RNN,flair_processed_data_score,4.9230769230769225e-05,1422144.0366082867,1004.7704651349615,0.049863708325527646
RNN,flair_processed_data_score,5.176923076923076e-05,991751.1542062784,864.408894752169,0.04474069127846051
RNN,flair_processed_data_score,5.430769230769231e-05,1118610.157121668,872.030178040649,0.04266282695607515
RNN,flair_processed_data_score,5.6846153846153845e-05,1128953.0313840096,905.3237769119537,0.04512428478737721
RNN,flair_processed_data_score,5.938461538461538e-05,1421545.4504657343,1026.9384301192963,0.05192089580696892
RNN,flair_processed_data_score,6.192307692307693e-05,1595371.5701192154,1137.5208793581298,0.058060311315382786
RNN,flair_processed_data_score,6.446153846153846e-05,1125608.3591105405,921.070583627892,0.04710931944224509
RNN,flair_processed_data_score,6.7e-05,1490620.395974608,1075.9157620702122,0.0539876344295534
RNN,flair_processed_data_score,6.953846153846154e-05,1687475.7967184307,1152.9964577642995,0.05855859741685654
RNN,flair_processed_data_score,7.207692307692308e-05,1389177.682290624,993.6465006928823,0.04891143607639003
RNN,flair_processed_data_score,7.461538461538462e-05,1893081.5683863035,1146.2976996806715,0.05549793287949783
RNN,flair_processed_data_score,7.715384615384615e-05,1035681.4919964954,881.1717419464974,0.04597005095502845
RNN,flair_processed_data_score,7.969230769230769e-05,1464261.0442813197,1104.2290001405847,0.05679873010271724
RNN,flair_processed_data_score,8.223076923076923e-05,1484585.8972022492,1045.3899522011568,0.05185074026233575
RNN,flair_processed_data_score,8.476923076923077e-05,1975222.410746425,1169.3716560893315,0.05648726943518879
RNN,flair_processed_data_score,8.73076923076923e-05,1899936.143661048,1172.0580037957905,0.05715189630212532
RNN,flair_processed_data_score,8.984615384615384e-05,1629605.962191952,1090.9426865761568,0.0537308830384657
RNN,flair_processed_data_score,9.238461538461538e-05,1375149.4629991231,1072.3639490279563,0.05574712248067991
RNN,flair_processed_data_score,9.492307692307692e-05,2337723.156849751,1240.336470969232,0.058834316341085525
RNN,flair_processed_data_score,9.746153846153845e-05,1610262.8889216396,1093.0014585676413,0.05367756409467028
RNN,flair_processed_data_score,0.0001,2232966.7704846105,1236.0974905607327,0.05935273446813932
LSTM_GRU,flair_processed_data_score,1e-06,307113939.5372751,17299.17404653358,0.9215525225532698
LSTM_GRU,flair_processed_data_score,3.538461538461538e-06,51436468.98714653,6995.86454902394,0.3764637686254739
LSTM_GRU,flair_processed_data_score,6.076923076923077e-06,3276698.9789987234,1469.6662867528921,0.08418683795095479
LSTM_GRU,flair_processed_data_score,8.615384615384615e-06,1252209.5962462684,884.4736905526993,0.05052461191681105
LSTM_GRU,flair_processed_data_score,1.1153846153846154e-05,1234831.2675743888,882.1418977948265,0.05042330683750677
LSTM_GRU,flair_processed_data_score,1.3692307692307692e-05,1137256.3824212777,841.8406596441196,0.0481379415562849
LSTM_GRU,flair_processed_data_score,1.623076923076923e-05,1223973.176220563,883.2618693766067,0.050474524719840985
LSTM_GRU,flair_processed_data_score,1.876923076923077e-05,1466729.1932189716,958.9138340496465,0.05485549130298049
LSTM_GRU,flair_processed_data_score,2.1307692307692308e-05,1033600.4234268414,797.1230669585476,0.045585190164311944
LSTM_GRU,flair_processed_data_score,2.3846153846153846e-05,1283376.327483258,886.2376159824871,0.050694120048682144
LSTM_GRU,flair_processed_data_score,2.6384615384615384e-05,1124121.7863040522,842.631293681716,0.0482502522271433
LSTM_GRU,flair_processed_data_score,2.8923076923076925e-05,1123307.4138399384,845.0415101823586,0.048315959971978316
LSTM_GRU,flair_processed_data_score,3.146153846153846e-05,1392890.7968365392,930.5168023979755,0.05334571611052328
LSTM_GRU,flair_processed_data_score,3.4e-05,1294347.4434086229,901.8471039524421,0.051571869360533505
LSTM_GRU,flair_processed_data_score,3.653846153846154e-05,1201836.1954623372,865.0706012009962,0.049606178040925826
