network_name,feature,lr,test_mse_loss,test_mae,test_mape
CNN,flair_nonprocessed_data_score,1e-06,4153303.1337990616,1651.5968352959019,0.08403063096017052
CNN,flair_nonprocessed_data_score,3.538461538461538e-06,759835.4005706058,692.363552887692,0.03520825730935502
CNN,flair_nonprocessed_data_score,6.076923076923077e-06,1159469.0390225044,855.7741732548528,0.04378308723251567
CNN,flair_nonprocessed_data_score,8.615384615384615e-06,1008575.2198565486,798.9983051807807,0.040815788939429935
CNN,flair_nonprocessed_data_score,1.1153846153846154e-05,1137642.981521971,844.2338729702166,0.04316864185251372
CNN,flair_nonprocessed_data_score,1.3692307692307692e-05,2315787.304394198,1240.0844205784717,0.06520541666279016
CNN,flair_nonprocessed_data_score,1.623076923076923e-05,1257894.4010505546,896.5404223549488,0.0457174645883028
CNN,flair_nonprocessed_data_score,1.876923076923077e-05,1077211.2749706698,827.2562976615827,0.04225979404962612
CNN,flair_nonprocessed_data_score,2.1307692307692308e-05,2581665.859108362,1304.3628287982615,0.06822842387832168
CNN,flair_nonprocessed_data_score,2.3846153846153846e-05,1663717.0268238054,1043.560600410956,0.0547673439451274
CNN,flair_nonprocessed_data_score,2.6384615384615384e-05,911751.4754426194,764.8811389285142,0.03945544416739672
CNN,flair_nonprocessed_data_score,2.8923076923076925e-05,1127915.7501866468,859.6870179680834,0.04464801303476553
CNN,flair_nonprocessed_data_score,3.146153846153846e-05,2056525.8020611135,1159.8850614267812,0.06150202111598524
CNN,flair_nonprocessed_data_score,3.4e-05,1282942.1627426408,927.4607987647984,0.049196307285157996
CNN,flair_nonprocessed_data_score,3.653846153846154e-05,1280304.3625946566,920.4533083137799,0.04844573743437948
CNN,flair_nonprocessed_data_score,3.9076923076923075e-05,2436065.9442992746,1281.4359368334044,0.06814377076777632
CNN,flair_nonprocessed_data_score,4.161538461538461e-05,1355002.1154943472,904.6477517398145,0.04769866389568908
CNN,flair_nonprocessed_data_score,4.415384615384615e-05,2099578.3810860175,1229.1935139418463,0.06473295563679354
CNN,flair_nonprocessed_data_score,4.669230769230769e-05,1609226.7731775278,1004.1212466503573,0.05361126939394216
CNN,flair_nonprocessed_data_score,4.9230769230769225e-05,2352480.5486081485,1242.5654221882999,0.06691538256755156
CNN,flair_nonprocessed_data_score,5.176923076923076e-05,2089290.3696938993,1110.7993239054501,0.05958100392899568
CNN,flair_nonprocessed_data_score,5.430769230769231e-05,2892540.6571165742,1382.907881909263,0.07409897658802289
CNN,flair_nonprocessed_data_score,5.6846153846153845e-05,1362600.2631452645,929.1317142838097,0.049439226069770525
CNN,flair_nonprocessed_data_score,5.938461538461538e-05,1654453.1979055568,1009.1059811953392,0.053629547889970576
CNN,flair_nonprocessed_data_score,6.192307692307693e-05,1595870.5456351324,1004.0656459144358,0.05325153502619765
CNN,flair_nonprocessed_data_score,6.446153846153846e-05,2278449.4220883106,1249.452880859375,0.06152792820077606
CNN,flair_nonprocessed_data_score,6.7e-05,10370247.343856655,3076.9119102295754,0.1554616110418437
