network_name,feature,lr,test_mse_loss,test_mae,test_mape
CNN,flair_nonprocessed_data_score,1e-06,6681213.848088038,2222.6623525849745,0.12105107148834847
CNN,flair_nonprocessed_data_score,3.538461538461538e-06,1378902.060286923,942.5421994123253,0.049592984613979554
CNN,flair_nonprocessed_data_score,6.076923076923077e-06,1200852.9896864884,874.5292447585769,0.046164400855302955
CNN,flair_nonprocessed_data_score,8.615384615384615e-06,2433935.292489533,1275.011363861976,0.06846005871456047
CNN,flair_nonprocessed_data_score,1.1153846153846154e-05,1042034.8019843725,835.6204298860388,0.042924819157069506
CNN,flair_nonprocessed_data_score,1.3692307692307692e-05,2661560.9134316016,1299.5092680372459,0.06881174401503933
CNN,flair_nonprocessed_data_score,1.623076923076923e-05,1423813.0226038166,954.0501905972046,0.05014023992549977
CNN,flair_nonprocessed_data_score,1.876923076923077e-05,2040499.404145116,1145.010891091566,0.06066484321016815
CNN,flair_nonprocessed_data_score,2.1307692307692308e-05,1511204.7338175112,981.7585309621188,0.05152789840409366
CNN,flair_nonprocessed_data_score,2.3846153846153846e-05,4763566.0468556555,1898.027304042249,0.09177573132881181
CNN,flair_nonprocessed_data_score,2.6384615384615384e-05,1367503.4508647362,941.5993103260006,0.04899742715344723
CNN,flair_nonprocessed_data_score,2.8923076923076925e-05,924035.6118302981,766.8741251886119,0.039431221924529226
CNN,flair_nonprocessed_data_score,3.146153846153846e-05,2288296.587838533,1231.4490611598635,0.06456805947148703
CNN,flair_nonprocessed_data_score,3.4e-05,1160680.838130408,836.4760773209181,0.04388375177123615
CNN,flair_nonprocessed_data_score,3.653846153846154e-05,2083123.7436946544,1153.5765391716964,0.06034286888085514
CNN,flair_nonprocessed_data_score,3.9076923076923075e-05,1464473.5615201076,961.5158880638501,0.04980881322710043
CNN,flair_nonprocessed_data_score,4.161538461538461e-05,1894070.0938500934,1086.182503027716,0.05695496674155395
CNN,flair_nonprocessed_data_score,4.415384615384615e-05,2050017.7285774308,1173.0311333584816,0.06298226531405614
CNN,flair_nonprocessed_data_score,4.669230769230769e-05,1216681.1654963705,893.8445342280813,0.04564611254435103
