network_name,feature,lr,test_mse_loss,test_mae,test_mape
CNN,flair_processed_data_score,1e-06,5372669.027551775,1864.071037879357,0.09810269684062378
CNN,flair_processed_data_score,3.538461538461538e-06,961082.7427422337,782.899132000624,0.040684680589447186
CNN,flair_processed_data_score,6.076923076923077e-06,634652.0578194342,630.8902786525749,0.03293644135939123
CNN,flair_processed_data_score,8.615384615384615e-06,562741.545297476,595.3112480569873,0.030702403668016635
CNN,flair_processed_data_score,1.1153846153846154e-05,829101.0400679549,722.8089036207932,0.037681843734142434
CNN,flair_processed_data_score,1.3692307692307692e-05,762400.4471038276,691.5124101808085,0.035574501745413836
CNN,flair_processed_data_score,1.623076923076923e-05,783563.7724898299,698.9112987631171,0.03632739303942174
CNN,flair_processed_data_score,1.876923076923077e-05,970332.2087994638,779.6329511834319,0.041146970358153685
CNN,flair_processed_data_score,2.1307692307692308e-05,803357.4022975222,709.31913910815,0.036779243175282014
CNN,flair_processed_data_score,2.3846153846153846e-05,1169436.8411381287,888.4903492222171,0.046584469153264745
CNN,flair_processed_data_score,2.6384615384615384e-05,885445.0024211815,766.2627680851863,0.0381387497681419
CNN,flair_processed_data_score,2.8923076923076925e-05,1531885.3106971155,1018.7751560549764,0.04916881969523721
CNN,flair_processed_data_score,3.146153846153846e-05,1194079.105347402,889.5509753706892,0.04727992333730782
CNN,flair_processed_data_score,3.4e-05,833069.92100245,721.9732389732226,0.03708165313100674
CNN,flair_processed_data_score,3.653846153846154e-05,918788.2749283469,772.2382980436969,0.04002880237544694
CNN,flair_processed_data_score,3.9076923076923075e-05,698918.6677925065,656.3953315689719,0.034094919560796765
CNN,flair_processed_data_score,4.161538461538461e-05,1152395.2839138776,893.2346953442816,0.04574186128382323
CNN,flair_processed_data_score,4.415384615384615e-05,1868271.456025795,1166.3167903380986,0.057511210284531995
CNN,flair_processed_data_score,4.669230769230769e-05,997323.7412022698,794.0796541292992,0.04169875352447797
CNN,flair_processed_data_score,4.9230769230769225e-05,1214182.3992464866,918.2829438158747,0.04539147232584766
CNN,flair_processed_data_score,5.176923076923076e-05,1265442.5998405141,942.2307797042575,0.049099069630132004
CNN,flair_processed_data_score,5.430769230769231e-05,1270388.230252057,950.4166315744615,0.0490374845437452
CNN,flair_processed_data_score,5.6846153846153845e-05,1474187.4659185465,1020.5871139616656,0.05341464992799967
CNN,flair_processed_data_score,5.938461538461538e-05,1398666.645866078,998.3131000586516,0.051211673653403504
CNN,flair_processed_data_score,6.192307692307693e-05,1446771.4406637158,1012.3069654837162,0.05284939348468965
CNN,flair_processed_data_score,6.446153846153846e-05,1386930.0371844952,999.8198543751733,0.05198246621411051
CNN,flair_processed_data_score,6.7e-05,1970810.528386765,1124.0366870044957,0.062348979423318567
CNN,flair_processed_data_score,6.953846153846154e-05,1342627.6115592641,932.9204928606925,0.05085331369287847
CNN,flair_processed_data_score,7.207692307692308e-05,2346938.054202108,1206.9012920673076,0.0676156156234851
CNN,flair_processed_data_score,7.461538461538462e-05,2158942.673492973,1246.1168063011396,0.062293347733139375
CNN,flair_processed_data_score,7.715384615384615e-05,2034208.0786797337,1202.4313498954095,0.06377393797249395
CNN,flair_processed_data_score,7.969230769230769e-05,2127074.153909717,1154.546782183224,0.064356485469895
CNN,flair_processed_data_score,8.223076923076923e-05,5107786.068047337,1953.8890956901234,0.09563917175662764
CNN,flair_processed_data_score,8.476923076923077e-05,1857102.1588098651,1131.443352874214,0.06038712728741033
CNN,flair_processed_data_score,8.73076923076923e-05,2774452.0001617973,1469.8862008540589,0.0738198808545919
CNN,flair_processed_data_score,8.984615384615384e-05,1559494.7040033285,1031.0659927277875,0.05439729630373991
CNN,flair_processed_data_score,9.238461538461538e-05,2001137.36233358,1130.9400284445499,0.061335015850494334
CNN,flair_processed_data_score,9.492307692307692e-05,1960813.830343935,1169.6800233739368,0.06318813488410907
CNN,flair_processed_data_score,9.746153846153845e-05,3741212.631078957,1751.0925260464821,0.08853022794558849
CNN,flair_processed_data_score,0.0001,2841320.1131078955,1489.5391047551082,0.07391639595944985
GRU,flair_processed_data_score,1e-06,125122637.48224851,10972.681650015023,0.5731544255681292
GRU,flair_processed_data_score,3.538461538461538e-06,3274785.2383968197,1506.4983892497225,0.08340834920603186
GRU,flair_processed_data_score,6.076923076923077e-06,1604792.4701093866,978.5537719726562,0.055474236904445084
GRU,flair_processed_data_score,8.615384615384615e-06,1080917.860056499,807.7135206594975,0.04553070521573178
GRU,flair_processed_data_score,1.1153846153846154e-05,1330499.201915312,888.6575889813124,0.05026807565174545
GRU,flair_processed_data_score,1.3692307692307692e-05,1010151.5297696266,775.7458508734167,0.043691680189731845
GRU,flair_processed_data_score,1.623076923076923e-05,972967.4539332644,750.7869511892104,0.04216776599834767
GRU,flair_processed_data_score,1.876923076923077e-05,822103.8913783688,715.2219377325837,0.04002897094862161
GRU,flair_processed_data_score,2.1307692307692308e-05,1209304.415235892,854.049145399466,0.04808182064988017
GRU,flair_processed_data_score,2.3846153846153846e-05,781709.1049349633,693.8572692871094,0.03883775868335981
GRU,flair_processed_data_score,2.6384615384615384e-05,709652.8103095964,653.7392337957077,0.03648286327146567
GRU,flair_processed_data_score,2.8923076923076925e-05,701130.4267180854,649.7064929488142,0.03632104337716905
GRU,flair_processed_data_score,3.146153846153846e-05,1296998.4914189626,882.474574704142,0.04975462849796116
GRU,flair_processed_data_score,3.4e-05,1307048.8754182172,878.1450097800712,0.04958820236659438
GRU,flair_processed_data_score,3.653846153846154e-05,825816.5605138293,701.5338483279979,0.03928403277053448
GRU,flair_processed_data_score,3.9076923076923075e-05,615375.463264059,610.71075240818,0.03399452842467536
GRU,flair_processed_data_score,4.161538461538461e-05,669762.0370588134,638.3683881590352,0.03558803600267391
GRU,flair_processed_data_score,4.415384615384615e-05,856296.3729365423,716.9681893072185,0.04022753785933318
GRU,flair_processed_data_score,4.669230769230769e-05,970920.3269967525,758.2034023668639,0.042609022492845955
GRU,flair_processed_data_score,4.9230769230769225e-05,1049160.782939482,785.8151609883506,0.04417108575563421
GRU,flair_processed_data_score,5.176923076923076e-05,870467.1086402306,719.3908406093981,0.040395706742533524
GRU,flair_processed_data_score,5.430769230769231e-05,677249.7658178566,648.6820369923608,0.03600675242535561
GRU,flair_processed_data_score,5.6846153846153845e-05,710966.2168990818,650.2518384583603,0.03607676546974521
GRU,flair_processed_data_score,5.938461538461538e-05,552729.5633786896,584.764855559761,0.03229504206683487
GRU,flair_processed_data_score,6.192307692307693e-05,775535.8067171898,683.7041037294287,0.03803568367347584
GRU,flair_processed_data_score,6.446153846153846e-05,440190.36139963364,524.5460669162005,0.02880094701561322
GRU,flair_processed_data_score,6.7e-05,563448.3502879848,578.4831400312615,0.032075425282571214
GRU,flair_processed_data_score,6.953846153846154e-05,651003.8897737582,628.2594357101169,0.03494090301614288
GRU,flair_processed_data_score,7.207692307692308e-05,557063.0064617811,579.4917225132327,0.03204980772866912
GRU,flair_processed_data_score,7.461538461538462e-05,618151.8354401899,614.1691946898692,0.034048778960893214
GRU,flair_processed_data_score,7.715384615384615e-05,605224.1270152436,606.3854704185351,0.033559312277952946
GRU,flair_processed_data_score,7.969230769230769e-05,570807.5735975638,587.3768030651928,0.03242865187882655
GRU,flair_processed_data_score,8.223076923076923e-05,519072.72728769877,560.4373925564557,0.030917310634677536
GRU,flair_processed_data_score,8.476923076923077e-05,546928.3943344207,575.482574643468,0.03169305164338718
GRU,flair_processed_data_score,8.73076923076923e-05,651371.0320698214,634.3276500814765,0.03507608152614609
GRU,flair_processed_data_score,8.984615384615384e-05,586135.7178937021,614.8016019742164,0.03373692299500411
GRU,flair_processed_data_score,9.238461538461538e-05,971792.6596488275,762.1008649295604,0.042637901252187985
GRU,flair_processed_data_score,9.492307692307692e-05,585974.7780404176,601.9016010352141,0.03333638612089331
GRU,flair_processed_data_score,9.746153846153845e-05,397079.7122177937,496.7167094755455,0.0270794842415627
GRU,flair_processed_data_score,0.0001,537967.6408366367,582.542011870435,0.032113562341670635
LSTM,flair_processed_data_score,1e-05,9660853.587463018,2835.7327534150795,0.1532383493131258
LSTM,flair_processed_data_score,3.538461538461538e-05,2083150.1985311112,1085.8224209215514,0.061257766324134
LSTM,flair_processed_data_score,6.0769230769230765e-05,967031.7916909844,750.6201995307878,0.041861719351617296
LSTM,flair_processed_data_score,8.615384615384615e-05,1571490.2107540334,926.0822739460059,0.05228594965997191
LSTM,flair_processed_data_score,0.00011153846153846153,1186970.6869459886,795.1411828035434,0.04425546927026269
LSTM,flair_processed_data_score,0.0001369230769230769,8534164.890717456,2623.426178159093,0.1423082864738604
LSTM,flair_processed_data_score,0.0001623076923076923,5236746.4149870565,1951.098354001017,0.10699553343263515
LSTM,flair_processed_data_score,0.00018769230769230769,4768269.780024963,1811.141924434865,0.09971374761004596
LSTM,flair_processed_data_score,0.00021307692307692306,572385.5652650009,628.2751780854175,0.03289087295612133
LSTM,flair_processed_data_score,0.00023846153846153844,587918.9634540265,643.9496748884754,0.03314230287690046
LSTM,flair_processed_data_score,0.00026384615384615384,671792.6431863096,599.1364466198803,0.03303789507877357
LSTM,flair_processed_data_score,0.0002892307692307692,794684.2780371672,660.7716122237888,0.03527843342272884
LSTM,flair_processed_data_score,0.00031461538461538465,1169734.900157319,809.1108120348326,0.04535925328268631
LSTM,flair_processed_data_score,0.00034,937854.1651289901,729.4782055736293,0.03843683384847276
LSTM,flair_processed_data_score,0.0003653846153846154,767504.1746139978,695.0628104125254,0.036766626988882035
LSTM,flair_processed_data_score,0.0003907692307692308,1345932.6742672892,914.5674982014492,0.04672257171271468
LSTM,flair_processed_data_score,0.00041615384615384615,1884175.780510355,1160.1356844027366,0.05944643785471659
LSTM,flair_processed_data_score,0.00044153846153846153,2756005.2748243343,1450.688217433952,0.07458284498914283
LSTM,flair_processed_data_score,0.0004669230769230769,3492983.279262204,1677.0071505033052,0.08750008694419759
LSTM,flair_processed_data_score,0.0004923076923076923,3572766.8685281067,1625.9095000317816,0.08438879169920492
LSTM,flair_processed_data_score,0.0005176923076923077,1803780.1472045176,1192.1445782001201,0.06126438921831339
LSTM,flair_processed_data_score,0.000543076923076923,2142689.7194809774,1246.8743907319017,0.06710959890769166
LSTM,flair_processed_data_score,0.0005684615384615384,2064982.6925229405,1277.1805409087233,0.06521386587537671
LSTM,flair_processed_data_score,0.0005938461538461538,2600504.7666737936,1381.5029639972033,0.0746793964789552
LSTM,flair_processed_data_score,0.0006192307692307693,3105316.313690366,1504.0663235455575,0.08201744717259246
LSTM,flair_processed_data_score,0.0006446153846153846,2436814.3107577893,1264.1224065475915,0.06987004948383164
LSTM,flair_processed_data_score,0.00067,2246264.1491135815,1325.7800650511972,0.06773836247915038
LSTM,flair_processed_data_score,0.0006953846153846154,3025360.3081625313,1366.1819848054965,0.0770753069726348
LSTM,flair_processed_data_score,0.0007207692307692308,3538532.054284451,1537.605860964081,0.08572109020418438
LSTM,flair_processed_data_score,0.0007461538461538462,4184650.248436922,1846.1039869319757,0.09933097304200433
LSTM,flair_processed_data_score,0.0007715384615384615,4398946.687511557,1886.8722447502541,0.10224887724420244
LSTM,flair_processed_data_score,0.0007969230769230769,9690804.086064627,2650.7267004611226,0.14657109743810792
LSTM,flair_processed_data_score,0.0008223076923076923,4934447.738523946,1808.0593597592688,0.10137900665468542
LSTM,flair_processed_data_score,0.0008476923076923077,5458982.516340086,1986.4851731520432,0.11013986070064508
LSTM,flair_processed_data_score,0.000873076923076923,6575013.102117234,2186.9504802636143,0.12056002362228974
LSTM,flair_processed_data_score,0.0008984615384615384,7063449.015734791,2387.352328509269,0.12987914924735766
LSTM,flair_processed_data_score,0.0009238461538461538,6443438.6950351335,2086.121569390833,0.11701349660508974
LSTM,flair_processed_data_score,0.0009492307692307692,3275656.953746186,1664.4282197670118,0.08865466460409249
LSTM,flair_processed_data_score,0.0009746153846153845,2935665.889446191,1525.031173615766,0.07963261725353463
LSTM,flair_processed_data_score,0.001,4545500.944460175,1970.8217643421783,0.10442508919820322
RNN,flair_processed_data_score,1e-06,111485977.9112426,10363.745230590099,0.5426377948131081
RNN,flair_processed_data_score,3.538461538461538e-06,2230900.109834389,1216.7511038695566,0.0678058178108957
RNN,flair_processed_data_score,6.076923076923077e-06,2022918.4527548163,1151.6493418315458,0.06413583644354419
RNN,flair_processed_data_score,8.615384615384615e-06,1912032.1048779008,1115.9951146594167,0.0621956516623486
RNN,flair_processed_data_score,1.1153846153846154e-05,1640540.5329355092,1027.6357678294887,0.05696336184035899
RNN,flair_processed_data_score,1.3692307692307692e-05,1713503.321677665,1051.1023496368227,0.058504331738828574
RNN,flair_processed_data_score,1.623076923076923e-05,1166706.0397689187,864.9262456950352,0.04768950989801911
RNN,flair_processed_data_score,1.876923076923077e-05,1270971.163602389,907.5651783237796,0.050084284481939655
RNN,flair_processed_data_score,2.1307692307692308e-05,1062385.353777101,845.6047986273229,0.04624028831338731
RNN,flair_processed_data_score,2.3846153846153846e-05,1125653.758180878,860.9809178459574,0.0473165748132525
RNN,flair_processed_data_score,2.6384615384615384e-05,881979.1534048227,754.3709445930797,0.04112536703944537
RNN,flair_processed_data_score,2.8923076923076925e-05,1036201.3096309865,839.2990583611663,0.045607012445134654
RNN,flair_processed_data_score,3.146153846153846e-05,924723.3857775807,784.0104014379739,0.042783733486947355
RNN,flair_processed_data_score,3.4e-05,984936.4900790785,807.4595051601793,0.04403186734688617
RNN,flair_processed_data_score,3.653846153846154e-05,1213456.253658498,903.7826151650332,0.0496075133412123
RNN,flair_processed_data_score,3.9076923076923075e-05,770678.2860251884,717.4607670349483,0.03888736930937567
RNN,flair_processed_data_score,4.161538461538461e-05,837218.4708446977,736.871259158885,0.03989266784663296
RNN,flair_processed_data_score,4.415384615384615e-05,839935.0817004322,745.4176756729036,0.04053935001620791
RNN,flair_processed_data_score,4.669230769230769e-05,936610.3977498614,789.1663856280626,0.0430120157460908
RNN,flair_processed_data_score,4.9230769230769225e-05,681254.7000739645,671.7608375323595,0.0362360394000456
RNN,flair_processed_data_score,5.176923076923076e-05,774800.5522121452,715.3039426182854,0.0386266697101025
RNN,flair_processed_data_score,5.430769230769231e-05,840837.1075215538,743.6496766220183,0.040414113809007425
RNN,flair_processed_data_score,5.6846153846153845e-05,688563.930826221,673.283696101262,0.036178675083066034
RNN,flair_processed_data_score,5.938461538461538e-05,789109.5221207297,719.8068011582956,0.03906459699022534
RNN,flair_processed_data_score,6.192307692307693e-05,656127.9349563869,667.5492535653199,0.03598087313364552
RNN,flair_processed_data_score,6.446153846153846e-05,791203.881498619,717.6038303713826,0.03916360146142873
RNN,flair_processed_data_score,6.7e-05,580057.0248590051,625.5456138475407,0.033335204731663355
RNN,flair_processed_data_score,6.953846153846154e-05,677802.4810119268,671.771129179283,0.036314138444140553
RNN,flair_processed_data_score,7.207692307692308e-05,795033.5584175065,726.35881972454,0.03930967473583406
RNN,flair_processed_data_score,7.461538461538462e-05,732261.3727337538,702.2133552506125,0.03784938137041482
RNN,flair_processed_data_score,7.715384615384615e-05,768765.7965998001,706.650846582898,0.038383912526211594
RNN,flair_processed_data_score,7.969230769230769e-05,508819.4711307323,579.9812950721154,0.030795847090889738
RNN,flair_processed_data_score,8.223076923076923e-05,751010.5489122741,704.673747045754,0.037992961072024045
RNN,flair_processed_data_score,8.476923076923077e-05,529501.1122562927,595.8548416047406,0.031379749210752525
RNN,flair_processed_data_score,8.73076923076923e-05,542539.8540465225,605.5658237073549,0.032330500079765255
RNN,flair_processed_data_score,8.984615384615384e-05,517754.85491329397,585.0777289937939,0.031141797201873284
RNN,flair_processed_data_score,9.238461538461538e-05,670251.8723837949,671.4051002637874,0.03617292735553429
RNN,flair_processed_data_score,9.492307692307692e-05,488926.0958923701,570.4445735773392,0.030059523586688022
RNN,flair_processed_data_score,9.746153846153845e-05,635106.4109688483,651.4330254729683,0.03505881551822603
RNN,flair_processed_data_score,0.0001,696179.6255113952,684.3730394713272,0.03655981936508558
LSTM_GRU,flair_processed_data_score,1e-06,178586252.26035503,13102.322008482803,0.6864597709221247
LSTM_GRU,flair_processed_data_score,3.538461538461538e-06,27384130.659763314,4935.788967516295,0.2634100602862574
LSTM_GRU,flair_processed_data_score,6.076923076923077e-06,5322719.215144231,1962.7323409763314,0.10884820435130031
LSTM_GRU,flair_processed_data_score,8.615384615384615e-06,1869961.3830071625,1041.247233915611,0.05924250569780765
LSTM_GRU,flair_processed_data_score,1.1153846153846154e-05,1525869.183905607,935.0221145900749,0.05320361535634553
LSTM_GRU,flair_processed_data_score,1.3692307692307692e-05,1582278.9078901843,950.7808189617812,0.05403015830694593
LSTM_GRU,flair_processed_data_score,1.623076923076923e-05,1954794.219823352,1064.7299768572022,0.06067362506722359
LSTM_GRU,flair_processed_data_score,1.876923076923077e-05,2398286.9422130696,1171.6806665905833,0.06688805558986013
LSTM_GRU,flair_processed_data_score,2.1307692307692308e-05,1337637.8109456801,872.6109805135331,0.04948440999823854
LSTM_GRU,flair_processed_data_score,2.3846153846153846e-05,1695039.9609049961,980.5266611674833,0.055585901651768424
LSTM_GRU,flair_processed_data_score,2.6384615384615384e-05,1805664.2579569619,1020.7616277389977,0.057994122131136604
LSTM_GRU,flair_processed_data_score,2.8923076923076925e-05,1482387.271979157,918.6548790564904,0.05210435173485274
LSTM_GRU,flair_processed_data_score,3.146153846153846e-05,1432278.4828993217,910.3744743392313,0.051522483062770595
LSTM_GRU,flair_processed_data_score,3.4e-05,1479416.0404027454,922.8665892471223,0.05228089041678654
LSTM_GRU,flair_processed_data_score,3.653846153846154e-05,1679890.2916976658,983.6862729766665,0.05573826764566278
LSTM_GRU,flair_processed_data_score,3.9076923076923075e-05,1632826.6444431283,958.9897045609514,0.05439072664201634
