network_name,price_past,lr,test_mse_loss,test_mae,test_mape
CNN,5,1e-06,16468445.706167862,3678.4318214699074,0.20347171727002664
CNN,5,3.538461538461538e-06,1233556.637461089,883.4325594338038,0.04713718095831039
CNN,5,6.076923076923077e-06,1081353.7196265145,837.0691346746191,0.046129320011687826
CNN,5,8.615384615384615e-06,927710.0264904245,783.4170114387321,0.04335614492380413
CNN,5,1.1153846153846154e-05,544973.4721718427,597.4495944407108,0.032898642783527644
CNN,5,1.3692307692307692e-05,475035.41590657114,552.0099733049582,0.02956541262140326
CNN,5,1.623076923076923e-05,764449.5942808673,711.4429801840652,0.039806842704647384
CNN,5,1.876923076923077e-05,639129.9182652299,638.3512562303987,0.03377759696760247
CNN,5,2.1307692307692308e-05,919744.7533605796,781.8526510696685,0.042590718606782894
CNN,5,2.3846153846153846e-05,941435.8792807739,773.1666141633065,0.04080266179767267
CNN,5,2.6384615384615384e-05,917478.5516719111,785.6535787457063,0.04268904612747354
CNN,5,2.8923076923076925e-05,1106162.9836317857,859.0106535151583,0.04692568984497428
CNN,5,3.146153846153846e-05,955607.5822040007,771.4076086702883,0.041113083205895726
CNN,5,3.4e-05,1290079.720261805,910.3136434065113,0.048237700544112985
CNN,5,3.653846153846154e-05,2303564.716900642,1222.2910377930855,0.0663103778185067
CNN,5,3.9076923076923075e-05,1815682.2393238791,1077.7082184093115,0.0569333340613819
CNN,5,4.161538461538461e-05,1819168.7472444486,1082.421146953405,0.05812799462658023
CNN,5,4.415384615384615e-05,1168215.9394878356,870.0919561351926,0.046596080832669605
CNN,5,4.669230769230769e-05,1403070.8590376659,930.4893884875298,0.04923937608320444
CNN,5,4.9230769230769225e-05,1499188.9002113114,981.7557794532183,0.05244173528918643
CNN,5,5.176923076923076e-05,1208231.6051983577,880.9028699503435,0.047268738498101225
CNN,5,5.430769230769231e-05,912718.8888036439,768.7242949382094,0.04068002737727541
CNN,5,5.6846153846153845e-05,1955289.2632576819,1131.7394520749328,0.06014471871193093
CNN,5,5.938461538461538e-05,1029213.1727127202,827.8825161477001,0.04357927939615334
CNN,5,6.192307692307693e-05,1472904.1268096159,970.1585554808842,0.051655145488309996
CNN,5,6.446153846153846e-05,1824630.755999384,1097.6261836590875,0.058032150211184325
CNN,5,6.7e-05,1611018.8846438464,1007.7854496854466,0.05390239102927814
