network_name,price_past,lr,test_mse_loss,test_mae,test_mape,forecast,sentiment_past
CNN,15,3.907692307692308e-05,648075.1238845952,635.2459075089139,0.0336993532934033,7,-1
CNN,30,6.076923076923077e-06,470616.508822898,541.7570618477916,0.0295927004695045,7,-1
GRU,15,8.223076923076923e-05,489728.96885384,607.9861030897644,0.0334553892032678,7,-1
GRU,30,9.746153846153844e-05,232443.1293140261,373.4964755661029,0.0204732634239521,7,-1
LSTM,15,8.615384615384615e-05,686710.8352526228,694.7275591887881,0.0386146908473521,7,-1
LSTM,30,0.0009238461538461,921952.9514752276,804.3936500686044,0.0399215212013915,7,-1
LSTM_GRU,15,9.746153846153844e-05,1650087.562261985,1083.0698927648036,0.0618928999691787,7,-1
LSTM_GRU,30,0.0001,1332858.6481633158,1016.9374100150744,0.0570172167248498,7,-1
RNN,15,8.984615384615384e-05,810798.6397490689,808.1637524384894,0.0435976105900158,7,-1
RNN,30,8.476923076923077e-05,719033.6611888161,745.2336748093545,0.0408540318985419,7,-1
RNN_GRU,15,7.461538461538462e-05,1480423.375996397,1031.6001438883754,0.0585421379669508,7,-1
RNN_GRU,30,9.746153846153844e-05,1715589.186899128,1067.1345341726872,0.0615635339647482,7,-1
