,network_name,feature,lr,test_mse_loss,test_mae,test_mape,processed,sentiment_past,price_past,forecast
0,CNN,bert_nonprocessed_data_sentiment_score,8.984615384615384e-05,662517.1602247158,678.8904947089422,0.0364792241115465,False,5,5,0
1,CNN,flair_nonprocessed_data_score,8.476923076923077e-05,757578.9079091364,685.2059045425667,0.0357441100924486,False,5,5,0
2,CNN,roberta_nonprocessed_data_sentiment_score,8.73076923076923e-05,496119.6351956352,568.4188894734752,0.0294173183076558,False,5,5,0
3,CNN,textblob_nonprocessed_data_polarity_score,3.538461538461538e-06,748181.6286087085,690.1549594980941,0.0361534070796845,False,5,5,0
4,CNN,textblob_nonprocessed_data_subjectivity_score,6.076923076923077e-06,557366.8832265813,597.6737400234276,0.0312943010826685,False,5,5,0
5,CNN,vader_nonprocessed_data_score,3.538461538461538e-06,985136.5581841428,795.7703663536372,0.0417015076357262,False,5,5,0
6,GRU,bert_nonprocessed_data_sentiment_score,7.207692307692308e-05,574781.5858356762,639.1890982369758,0.0347924703134653,False,5,5,0
7,GRU,flair_nonprocessed_data_score,6.953846153846154e-05,503082.4801897245,604.974175071474,0.0331891053502304,False,5,5,0
8,GRU,roberta_nonprocessed_data_sentiment_score,7.715384615384615e-05,523844.7743299065,602.4602091109434,0.0327403474819028,False,5,5,0
9,GRU,textblob_nonprocessed_data_polarity_score,7.207692307692308e-05,433488.1295506624,558.6066947268107,0.0302802832963897,False,5,5,0
10,GRU,textblob_nonprocessed_data_subjectivity_score,8.223076923076923e-05,390049.559843851,537.7920405813214,0.0286395954380881,False,5,5,0
11,GRU,vader_nonprocessed_data_score,3.653846153846154e-05,464019.37982128776,555.1889307199016,0.0300150819340672,False,5,5,0
12,LSTM,bert_nonprocessed_data_sentiment_score,0.0009492307692307,365423.05886697344,461.07225197546063,0.0226828723378049,False,5,5,0
13,LSTM,flair_nonprocessed_data_score,0.0008476923076923,155444.62853988397,308.0610481853558,0.0154422999310062,False,5,5,0
14,LSTM,roberta_nonprocessed_data_sentiment_score,0.000136923076923,314860.9463226192,461.8127370056385,0.0234091708158115,False,5,5,0
