,network_name,feature,lr,test_mse_loss,test_mae,test_mape,processed,sentiment_past,price_past,forecast
0,CNN,bert_nonprocessed_data_sentiment_score,3.538461538461538e-06,449472.6845645327,536.3155572183892,0.0275240429807427,False,15,15,1
1,CNN,flair_nonprocessed_data_score,6.192307692307693e-05,278264.3388588205,414.7738651864629,0.0210658422838238,False,15,15,1
2,CNN,roberta_nonprocessed_data_sentiment_score,5.430769230769231e-05,559337.0769782789,597.8239404367334,0.0314051358915884,False,15,15,1
3,CNN,textblob_nonprocessed_data_polarity_score,6.446153846153846e-05,470374.9584237741,547.6590993641775,0.0287441004433536,False,15,15,1
4,CNN,textblob_nonprocessed_data_subjectivity_score,1.1153846153846154e-05,648149.9810160683,635.6149180138437,0.0323950788752575,False,15,15,1
5,CNN,vader_nonprocessed_data_score,3.653846153846154e-05,527107.0509711371,592.2932731331168,0.0296617881107664,False,15,15,1
6,GRU,bert_nonprocessed_data_sentiment_score,7.461538461538462e-05,322686.8590264396,454.0636104347042,0.024240643912382,False,15,15,1
7,GRU,flair_nonprocessed_data_score,8.223076923076923e-05,337294.9669994778,463.5241181344697,0.0253447416618726,False,15,15,1
8,GRU,roberta_nonprocessed_data_sentiment_score,9.238461538461538e-05,427689.17751238495,531.8301711309524,0.0284956212364329,False,15,15,1
9,GRU,textblob_nonprocessed_data_polarity_score,0.0001,311966.08884497086,448.41084252119407,0.0240701587361211,False,15,15,1
10,GRU,textblob_nonprocessed_data_subjectivity_score,9.238461538461538e-05,388951.9735043568,502.7463924963925,0.0273803218533614,False,15,15,1
11,GRU,vader_nonprocessed_data_score,9.238461538461538e-05,319432.7235594635,459.60224877119407,0.0246180186855245,False,15,15,1
12,LSTM,bert_nonprocessed_data_sentiment_score,0.0003146153846153,377865.1484835901,502.5139614617154,0.0265799496931992,False,15,15,1
13,LSTM,flair_nonprocessed_data_score,0.0002892307692307,273915.6156110832,403.2263060290404,0.0190692243811675,False,15,15,1
14,LSTM,roberta_nonprocessed_data_sentiment_score,8.615384615384615e-05,231398.4507769768,384.6598124098124,0.0206403704217338,False,15,15,1
15,LSTM,textblob_nonprocessed_data_polarity_score,0.0002892307692307,231982.42878333415,392.3080314867424,0.0202742183858509,False,15,15,1
16,LSTM,textblob_nonprocessed_data_subjectivity_score,0.0001623076923076,243253.5533816185,396.2620935921717,0.0201797590196746,False,15,15,1
17,LSTM,vader_nonprocessed_data_score,0.0002638461538461,222687.012186488,381.7794955695346,0.0193955458497056,False,15,15,1
18,LSTM_GRU,bert_nonprocessed_data_sentiment_score,6.446153846153846e-05,996293.2225999048,783.4523076749639,0.0435239631633246,False,15,15,1
19,LSTM_GRU,flair_nonprocessed_data_score,8.984615384615384e-05,1081660.8519868727,804.3091376939033,0.0448662552805426,False,15,15,1
20,LSTM_GRU,roberta_nonprocessed_data_sentiment_score,8.73076923076923e-05,784592.649845316,713.588765726461,0.039162585131144,False,15,15,1
21,LSTM_GRU,textblob_nonprocessed_data_polarity_score,8.476923076923077e-05,1073252.8211042865,813.6678489696068,0.0456881037122818,False,15,15,1
22,LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,0.0001,1053747.241936842,825.9740020179473,0.0460112337252322,False,15,15,1
23,LSTM_GRU,vader_nonprocessed_data_score,7.207692307692308e-05,1089556.3417746804,811.0498610547438,0.0456757709568078,False,15,15,1
24,RNN,bert_nonprocessed_data_sentiment_score,9.492307692307692e-05,355593.33598824154,468.8502054586039,0.02350142978564,False,15,15,1
25,RNN,flair_nonprocessed_data_score,8.984615384615384e-05,333707.07659144764,453.2140630636724,0.0229334888133891,False,15,15,1
26,RNN,roberta_nonprocessed_data_sentiment_score,0.0001,410003.1611615686,502.4190411368146,0.0253705255837417,False,15,15,1
27,RNN,textblob_nonprocessed_data_polarity_score,9.238461538461538e-05,364664.602833141,491.2970046446609,0.0252340229177196,False,15,15,1
28,RNN,textblob_nonprocessed_data_subjectivity_score,7.969230769230769e-05,362099.342041467,476.9417578406837,0.0239158139556873,False,15,15,1
29,RNN,vader_nonprocessed_data_score,9.492307692307692e-05,346368.5182947817,472.73256561147184,0.0240752643087985,False,15,15,1
