,network_name,feature,lr,test_mse_loss,test_mae,test_mape,processed,sentiment_past,price_past,forecast
0,CNN,bert_nonprocessed_data_sentiment_score,6.446153846153846e-05,876795.1788306811,750.05558154483,0.0388680266658982,False,5,5,1
1,CNN,flair_nonprocessed_data_score,9.746153846153844e-05,387429.9313111748,491.3564080864835,0.0255891117070573,False,5,5,1
2,CNN,roberta_nonprocessed_data_sentiment_score,8.615384615384615e-06,799507.7163921972,716.9817989596569,0.0375406885472436,False,5,5,1
3,CNN,textblob_nonprocessed_data_polarity_score,8.223076923076923e-05,766647.1784715276,693.933462218075,0.0358895045085934,False,5,5,1
4,CNN,textblob_nonprocessed_data_subjectivity_score,8.615384615384615e-06,641808.7041221629,643.1428107876033,0.0337183861099798,False,5,5,1
5,CNN,vader_nonprocessed_data_score,8.615384615384615e-06,668866.2137350934,655.8205966585928,0.0343705982703826,False,5,5,1
6,GRU,bert_nonprocessed_data_sentiment_score,7.461538461538462e-05,485795.255357071,584.6187621604987,0.0318925737404553,False,5,5,1
7,GRU,flair_nonprocessed_data_score,7.715384615384615e-05,601523.6458654827,649.5990187222046,0.036101897862125,False,5,5,1
8,GRU,roberta_nonprocessed_data_sentiment_score,7.969230769230769e-05,496806.7764678529,598.8564564803049,0.0324232592698591,False,5,5,1
9,GRU,textblob_nonprocessed_data_polarity_score,7.461538461538462e-05,576287.7930823499,637.427648755162,0.0351984658744629,False,5,5,1
10,GRU,textblob_nonprocessed_data_subjectivity_score,6.192307692307693e-05,560398.0951847066,625.6543961443774,0.0346119028775977,False,5,5,1
11,GRU,vader_nonprocessed_data_score,5.430769230769231e-05,510555.2603687058,593.5367743408514,0.0327440631921874,False,5,5,1
12,LSTM,bert_nonprocessed_data_sentiment_score,0.0008223076923076,377489.4946761368,454.9784542020727,0.0221898568071675,False,5,5,1
13,LSTM,flair_nonprocessed_data_score,0.0008984615384615,443358.5193652598,530.3483182526604,0.0285542094440991,False,5,5,1
14,LSTM,roberta_nonprocessed_data_sentiment_score,0.0008223076923076,391489.7613055412,473.78798356595456,0.0235775338543231,False,5,5,1
15,LSTM,textblob_nonprocessed_data_polarity_score,0.0007461538461538,543411.1290185098,600.4393166296061,0.0305003184267364,False,5,5,1
16,LSTM,textblob_nonprocessed_data_subjectivity_score,0.0003907692307692,323180.9061785144,484.3546615658752,0.02495910307166,False,5,5,1
17,LSTM,vader_nonprocessed_data_score,0.0002892307692307,327529.3630416487,453.0994083545108,0.025205478716574,False,5,5,1
18,LSTM_GRU,bert_nonprocessed_data_sentiment_score,1.623076923076923e-05,1187133.0101548985,883.4990432913755,0.0502085783761074,False,5,5,1
19,LSTM_GRU,flair_nonprocessed_data_score,2.6384615384615384e-05,1291035.4792775174,900.1404661689962,0.0514585708971803,False,5,5,1
20,LSTM_GRU,roberta_nonprocessed_data_sentiment_score,1.623076923076923e-05,1099294.050357106,850.3750186130083,0.04825149921373,False,5,5,1
21,LSTM_GRU,textblob_nonprocessed_data_polarity_score,3.4e-05,1170983.1532997317,876.8557454633894,0.0498955290252165,False,5,5,1
22,LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,2.384615384615385e-05,1276543.931559329,915.4099204852288,0.0521248904860216,False,5,5,1
23,LSTM_GRU,vader_nonprocessed_data_score,2.8923076923076925e-05,1166903.8430627536,877.7561187162485,0.0498051612885412,False,5,5,1
24,RNN,bert_nonprocessed_data_sentiment_score,2.6384615384615384e-05,1092534.9461206924,898.5702243984276,0.0477580005404204,False,5,5,1
25,RNN,flair_nonprocessed_data_score,2.6384615384615384e-05,923919.9929734052,815.0283445094108,0.0440285223519699,False,5,5,1
26,RNN,roberta_nonprocessed_data_sentiment_score,2.1307692307692308e-05,1347603.4167081064,969.878254794711,0.0533990613751414,False,5,5,1
27,RNN,textblob_nonprocessed_data_polarity_score,1.876923076923077e-05,1341549.612471509,995.5173709001748,0.0543780559490481,False,5,5,1
28,RNN,textblob_nonprocessed_data_subjectivity_score,0.0001,1056459.158066281,870.6591263302097,0.0450438984122134,False,5,5,1
29,RNN,vader_nonprocessed_data_score,2.6384615384615384e-05,1125542.5389170083,917.7006420246984,0.0488365827800748,False,5,5,1
30,RNN_GRU,bert_nonprocessed_data_sentiment_score,9.238461538461538e-05,817559.8005161794,720.3450913774619,0.0355479074362118,False,5,5,1
31,RNN_GRU,flair_nonprocessed_data_score,8.984615384615384e-05,1833634.5829004,1058.6728577668362,0.0496764927714935,False,5,5,1
32,RNN_GRU,roberta_nonprocessed_data_sentiment_score,8.73076923076923e-05,837349.1488371368,715.175395960729,0.035357834676309,False,5,5,1
33,RNN_GRU,textblob_nonprocessed_data_polarity_score,0.0001,650686.1527289327,633.845008859792,0.0321417607689066,False,5,5,1
34,RNN_GRU,textblob_nonprocessed_data_subjectivity_score,0.0001,1092753.5801908306,769.3651903242138,0.0372765032236382,False,5,5,1
