,network_name,feature,lr,test_mse_loss,test_mae,test_mape,processed,sentiment_past,price_past,forecast
0,CNN,bert_nonprocessed_data_sentiment_score,7.969230769230769e-05,505610.5513545222,540.3421101749146,0.0282022937371017,False,30,30,1
1,CNN,flair_nonprocessed_data_score,4.161538461538461e-05,369185.0864018125,479.1977014118494,0.0238096021199614,False,30,30,1
2,CNN,roberta_nonprocessed_data_sentiment_score,4.415384615384615e-05,596463.981977235,604.9723062873294,0.0308915704966335,False,30,30,1
3,CNN,textblob_nonprocessed_data_polarity_score,6.446153846153846e-05,511830.2160718482,553.9205351429181,0.029130181639754,False,30,30,1
4,CNN,textblob_nonprocessed_data_subjectivity_score,8.984615384615384e-05,324576.81052521063,461.3500493280717,0.0237427766863161,False,30,30,1
5,CNN,vader_nonprocessed_data_score,3.4e-05,623765.9344215263,629.6173308180461,0.0318289909259703,False,30,30,1
6,GRU,bert_nonprocessed_data_sentiment_score,7.461538461538462e-05,224139.38071394784,370.2777703711604,0.0189695401238786,False,30,30,1
7,GRU,flair_nonprocessed_data_score,5.938461538461538e-05,142509.23912288222,296.78217156836604,0.0150707715637735,False,30,30,1
8,GRU,roberta_nonprocessed_data_sentiment_score,7.207692307692308e-05,362835.8653994095,480.58158796395054,0.0253437811361964,False,30,30,1
9,GRU,textblob_nonprocessed_data_polarity_score,0.0001,181827.70278975257,338.3113117934087,0.0173942155437444,False,30,30,1
10,GRU,textblob_nonprocessed_data_subjectivity_score,9.746153846153844e-05,225640.1621721157,373.7787869293942,0.0191440586206394,False,30,30,1
11,GRU,vader_nonprocessed_data_score,0.0001,279327.9798917282,423.5606951925128,0.021612043664735,False,30,30,1
12,LSTM,bert_nonprocessed_data_sentiment_score,0.0003907692307692,219381.19592701775,367.5749036769411,0.018452612392536,False,30,30,1
13,LSTM,flair_nonprocessed_data_score,0.0004161538461538,160516.71445957222,309.860079924808,0.0158522393883828,False,30,30,1
14,LSTM,roberta_nonprocessed_data_sentiment_score,0.0004415384615384,65485.31404416472,205.9962970616468,0.0101239070637835,False,30,30,1
15,LSTM,textblob_nonprocessed_data_polarity_score,0.000466923076923,244605.60518924857,373.7592206831271,0.0198505843904921,False,30,30,1
16,LSTM,textblob_nonprocessed_data_subjectivity_score,0.0004161538461538,392834.12712591904,518.0772075978563,0.0258835943801361,False,30,30,1
17,LSTM,vader_nonprocessed_data_score,0.0004415384615384,192845.03976161813,349.1018441366254,0.0183900127729914,False,30,30,1
18,LSTM_GRU,bert_nonprocessed_data_sentiment_score,9.492307692307692e-05,685296.9247819295,629.1528736934727,0.0341764697531888,False,30,30,1
19,LSTM_GRU,flair_nonprocessed_data_score,0.0001,462440.32777235535,507.1108798394838,0.0271870093754891,False,30,30,1
20,LSTM_GRU,roberta_nonprocessed_data_sentiment_score,8.984615384615384e-05,692370.3087331622,625.4293192059514,0.0342259723730878,False,30,30,1
21,LSTM_GRU,textblob_nonprocessed_data_polarity_score,8.476923076923077e-05,972481.1244554488,749.6284479655503,0.0413316214903545,False,30,30,1
22,LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,1.1153846153846154e-05,1008547.5599999346,771.0551491174275,0.0419874426326168,False,30,30,1
23,LSTM_GRU,vader_nonprocessed_data_score,6.7e-05,869194.2326184555,723.1558900383959,0.0396451732785832,False,30,30,1
24,RNN,bert_nonprocessed_data_sentiment_score,6.7e-05,380187.06364258646,495.9572145637799,0.0251075117389906,False,30,30,1
25,RNN,flair_nonprocessed_data_score,6.192307692307693e-05,414526.63612640434,514.4120018864654,0.0261736115504893,False,30,30,1
26,RNN,roberta_nonprocessed_data_sentiment_score,9.746153846153844e-05,556972.8923240375,591.5975945899104,0.0305399828992343,False,30,30,1
27,RNN,textblob_nonprocessed_data_polarity_score,9.238461538461538e-05,478358.0896709039,549.6975639265145,0.0284723499133259,False,30,30,1
28,RNN,textblob_nonprocessed_data_subjectivity_score,8.73076923076923e-05,352224.9331204672,474.58857721843,0.0238133030517444,False,30,30,1
29,RNN,vader_nonprocessed_data_score,6.953846153846154e-05,472056.1669299057,547.5831911262799,0.0274829725943135,False,30,30,1
30,RNN_GRU,bert_nonprocessed_data_sentiment_score,0.0001,1497879.787758225,987.226220869774,0.0527941880933125,False,30,30,1
31,RNN_GRU,flair_nonprocessed_data_score,8.73076923076923e-05,1605067.12169116,1016.5912336017492,0.0546836140283972,False,30,30,1
32,RNN_GRU,roberta_nonprocessed_data_sentiment_score,7.715384615384615e-05,1715838.2725355648,1065.9982901823803,0.0572958274099994,False,30,30,1
33,RNN_GRU,textblob_nonprocessed_data_polarity_score,6.953846153846154e-05,659883.6467140771,648.5861791408917,0.0338188305242585,False,30,30,1
34,RNN_GRU,textblob_nonprocessed_data_subjectivity_score,3.653846153846154e-05,882254.1469121549,796.2818549354736,0.0410459390007545,False,30,30,1
35,RNN_GRU,vader_nonprocessed_data_score,5.938461538461538e-05,498159.131046855,554.7035316232935,0.0269906584235224,False,30,30,1
36,CNN,bert_processed_data_sentiment_score,4.161538461538461e-05,374485.8795239604,469.2587925690081,0.0243751513624234,True,30,30,1
37,CNN,flair_processed_data_score,3.653846153846154e-05,441392.7341893194,525.8812266817213,0.0270594244220823,True,30,30,1
38,CNN,roberta_processed_data_sentiment_score,7.207692307692308e-05,426410.73621679336,515.637473525864,0.0257869808680897,True,30,30,1
39,CNN,textblob_processed_data_polarity_score,2.8923076923076925e-05,430027.3402350544,520.5681901859851,0.0266091599044702,True,30,30,1
40,CNN,textblob_processed_data_subjectivity_score,2.384615384615385e-05,319937.641279046,442.83935546875,0.0220158955418689,True,30,30,1
41,CNN,vader_processed_data_score,6.192307692307693e-05,279265.56388030405,428.0829709941652,0.0217574078507539,True,30,30,1
42,GRU,bert_processed_data_sentiment_score,0.0001,144712.01467720183,300.8293312387792,0.0152230018149364,True,30,30,1
43,GRU,flair_processed_data_score,0.0001,160927.80949204613,320.610397147105,0.0163537038632717,True,30,30,1
44,GRU,roberta_processed_data_sentiment_score,8.73076923076923e-05,153612.30700623326,313.29072458482943,0.0156406668311401,True,30,30,1
45,GRU,textblob_processed_data_polarity_score,9.746153846153844e-05,163607.71167788687,325.5136508359515,0.0162838002135646,True,30,30,1
46,GRU,textblob_processed_data_subjectivity_score,7.207692307692308e-05,149858.0299369497,312.71226120679984,0.0158239448694591,True,30,30,1
47,GRU,vader_processed_data_score,7.715384615384615e-05,166378.4470700824,318.8817693138465,0.0159896276691632,True,30,30,1
48,LSTM,bert_processed_data_sentiment_score,3.538461538461538e-05,335238.8047155521,437.6402953882406,0.0235983664661589,True,30,30,1
49,LSTM,flair_processed_data_score,0.00034,100433.27396140106,247.51320375617144,0.0122159135663918,True,30,30,1
50,LSTM,roberta_processed_data_sentiment_score,0.0006446153846153,151719.48354702577,311.7849248204668,0.015968090299052,True,30,30,1
51,LSTM,textblob_processed_data_polarity_score,0.0001623076923076,107081.09259472886,256.7765530324282,0.0131788092772854,True,30,30,1
52,LSTM,textblob_processed_data_subjectivity_score,0.000136923076923,212529.2512020748,369.3726076848631,0.0188292119863336,True,30,30,1
53,LSTM,vader_processed_data_score,0.000136923076923,150598.79976610906,298.44025786860414,0.0151403488698846,True,30,30,1
54,LSTM_GRU,bert_processed_data_sentiment_score,8.73076923076923e-05,458816.87508725177,522.322838939071,0.027702202930869,True,30,30,1
55,LSTM_GRU,flair_processed_data_score,7.715384615384615e-05,517174.4708830801,543.9798621241023,0.0294194842315248,True,30,30,1
56,LSTM_GRU,roberta_processed_data_sentiment_score,9.492307692307692e-05,406453.837085991,495.9432121016607,0.0262136602329292,True,30,30,1
57,LSTM_GRU,textblob_processed_data_polarity_score,6.953846153846154e-05,836139.4756983649,680.3205842543762,0.0376226743417783,True,30,30,1
58,LSTM_GRU,textblob_processed_data_subjectivity_score,1.876923076923077e-05,784330.5019245353,692.4846257153276,0.0377159092099409,True,30,30,1
59,LSTM_GRU,vader_processed_data_score,9.238461538461538e-05,444168.2125319133,491.9436609346948,0.0268126586703845,True,30,30,1
60,RNN,bert_processed_data_sentiment_score,7.715384615384615e-05,406889.0034051481,506.3440112348519,0.025420456273018,True,30,30,1
61,RNN,flair_processed_data_score,6.7e-05,355629.7894153424,480.19903904146094,0.0242274716806629,True,30,30,1
