network_name,price_past,lr,test_mse_loss,test_mae,test_mape,forecast,sentiment_past
CNN,5,1.3692307692307692e-05,475035.4159065712,552.0099733049582,0.0295654126214032,1,-1
CNN,15,6.076923076923077e-06,501968.1590073744,559.1146585881496,0.0305085562758165,1,-1
CNN,30,1e-06,754641.1983700915,687.746735457736,0.0361688030379342,1,-1
GRU,5,7.461538461538462e-05,328959.4202104543,493.45309174787184,0.0271043817707342,1,-1
GRU,15,9.746153846153844e-05,365404.2285103017,552.3855321740591,0.0295384500505766,1,-1
GRU,30,9.746153846153844e-05,120653.54842009596,264.1161893527852,0.0140833080984558,1,-1
LSTM,5,0.0005938461538461,343678.1101136612,508.0490358049582,0.0270923052423048,1,-1
LSTM,15,0.0001623076923076,220121.05307309687,365.688797416368,0.0206288684736743,1,-1
LSTM,30,0.0003653846153846,238135.49317603983,400.6247368998282,0.0200467896403654,1,-1
LSTM_GRU,5,1.623076923076923e-05,1575179.4768178705,1021.8290723939664,0.0590414381549852,1,-1
LSTM_GRU,15,7.969230769230769e-05,1302510.3127488077,983.5590931152929,0.0558306967261416,1,-1
LSTM_GRU,30,9.746153846153844e-05,1065838.6867181377,918.4127989191308,0.0513241102400468,1,-1
RNN,5,1.623076923076923e-05,1399754.4055401108,1029.6927550029868,0.0570560629332016,1,-1
RNN,15,6.953846153846154e-05,831027.3242321676,832.9059641483722,0.0444430774068037,1,-1
RNN,30,0.0001,737989.2994435081,788.8754550291219,0.0412085939146853,1,-1
RNN_GRU,5,8.476923076923077e-05,1371137.810625703,959.5149716248508,0.0464856391142566,1,-1
RNN_GRU,15,7.969230769230769e-05,1355773.029336371,1001.8250611372462,0.056407560186196,1,-1
RNN_GRU,30,7.207692307692308e-05,1598223.6238605313,1040.067375812052,0.0597168321611655,1,-1
