,network_name,feature,lr,test_mse_loss,test_mae,test_mape,processed,sentiment_past,price_past,forecast
0,CNN,bert_nonprocessed_data_sentiment_score,8.984615384615384e-05,341139.1788780466,465.4853980654762,0.023829060705729,False,15,15,0
1,CNN,flair_nonprocessed_data_score,8.476923076923077e-05,506222.8958804584,593.2720691851551,0.0309216736676734,False,15,15,0
2,CNN,roberta_nonprocessed_data_sentiment_score,3.538461538461538e-06,508995.41436469776,568.5918292861652,0.0290478919668456,False,15,15,0
3,CNN,textblob_nonprocessed_data_polarity_score,2.1307692307692308e-05,493690.1966352146,539.163391729798,0.0280685758691977,False,15,15,0
4,CNN,textblob_nonprocessed_data_subjectivity_score,4.161538461538461e-05,357248.522790251,479.2184794372295,0.0249388492526335,False,15,15,0
5,CNN,vader_nonprocessed_data_score,3.538461538461538e-06,569641.0013913132,606.8398367040945,0.0311853665132843,False,15,15,0
6,GRU,bert_nonprocessed_data_sentiment_score,7.969230769230769e-05,277024.6146114234,422.88244470373377,0.0226891901173567,False,15,15,0
7,GRU,flair_nonprocessed_data_score,5.176923076923076e-05,449160.5323820073,518.0443455199314,0.028784567366473,False,15,15,0
8,GRU,roberta_nonprocessed_data_sentiment_score,6.446153846153846e-05,420544.6623286293,529.6732348597583,0.0285388241024414,False,15,15,0
9,GRU,textblob_nonprocessed_data_polarity_score,8.73076923076923e-05,278009.3257955025,428.8423253179113,0.0230747398103759,False,15,15,0
10,GRU,textblob_nonprocessed_data_subjectivity_score,8.223076923076923e-05,311839.98285365687,456.0258006966992,0.0242612862092982,False,15,15,0
11,GRU,vader_nonprocessed_data_score,8.223076923076923e-05,374411.8546909591,489.154281374008,0.0261477388657064,False,15,15,0
12,LSTM,bert_nonprocessed_data_sentiment_score,0.0002638461538461,270688.9994500285,408.3703609758297,0.0206571684169703,False,15,15,0
13,LSTM,flair_nonprocessed_data_score,0.0002638461538461,213192.82093520943,389.463444433171,0.0195727637773,False,15,15,0
14,LSTM,roberta_nonprocessed_data_sentiment_score,0.0001115384615384,233532.8893822179,403.6894446699134,0.0209224992252478,False,15,15,0
15,LSTM,textblob_nonprocessed_data_polarity_score,8.615384615384615e-05,305045.98430766206,456.4824965615981,0.0245353469496363,False,15,15,0
16,LSTM,textblob_nonprocessed_data_subjectivity_score,0.0001115384615384,243463.7584931455,404.2091971613456,0.0217422852946338,False,15,15,0
17,LSTM,vader_nonprocessed_data_score,0.0002638461538461,123943.9626296953,265.5331185741342,0.0132351769713591,False,15,15,0
18,LSTM_GRU,bert_nonprocessed_data_sentiment_score,6.192307692307693e-05,1045114.3886327812,816.2131428684163,0.0451387691886769,False,15,15,0
19,LSTM_GRU,flair_nonprocessed_data_score,3.146153846153846e-05,1243200.991422546,850.7708262874279,0.0479944499109276,False,15,15,0
20,LSTM_GRU,roberta_nonprocessed_data_sentiment_score,6.446153846153846e-05,1012413.2445358068,818.6314695504149,0.0447974067663257,False,15,15,0
21,LSTM_GRU,textblob_nonprocessed_data_polarity_score,9.492307692307692e-05,982338.9990051072,790.6641850987554,0.0439619893674006,False,15,15,0
22,LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,9.746153846153844e-05,1148999.0595104278,874.9055496369949,0.0484591608520554,False,15,15,0
23,LSTM_GRU,vader_nonprocessed_data_score,7.207692307692308e-05,1149955.4140062318,849.587613016324,0.0474590269782002,False,15,15,0
24,RNN,bert_nonprocessed_data_sentiment_score,8.223076923076923e-05,322775.06552175764,443.3749253134019,0.0224732946513399,False,15,15,0
25,RNN,flair_nonprocessed_data_score,9.492307692307692e-05,321236.39852073527,435.3489259221681,0.0218795517770448,False,15,15,0
26,RNN,roberta_nonprocessed_data_sentiment_score,6.446153846153846e-05,408326.82563137147,511.16570701433983,0.0260687321059826,False,15,15,0
27,RNN,textblob_nonprocessed_data_polarity_score,0.0001,343271.5270231008,470.5928763077201,0.023865387568437,False,15,15,0
28,RNN,textblob_nonprocessed_data_subjectivity_score,5.6846153846153845e-05,379962.2563679132,495.6506203215188,0.0255862401156256,False,15,15,0
29,RNN,vader_nonprocessed_data_score,6.446153846153846e-05,408142.8304966353,509.6366412450397,0.0260804689010152,False,15,15,0
30,RNN_GRU,bert_nonprocessed_data_sentiment_score,9.238461538461538e-05,449511.7583645742,526.4204601821789,0.026453927537877,False,15,15,0
31,RNN_GRU,flair_nonprocessed_data_score,7.461538461538462e-05,457612.9849870635,541.2332603377525,0.0279349133621799,False,15,15,0
32,RNN_GRU,roberta_nonprocessed_data_sentiment_score,8.73076923076923e-05,532307.3122416025,583.0660370445527,0.0298462718290526,False,15,15,0
33,RNN_GRU,textblob_nonprocessed_data_polarity_score,8.73076923076923e-05,481826.40685101575,548.928695436508,0.0277255738325618,False,15,15,0
34,RNN_GRU,textblob_nonprocessed_data_subjectivity_score,9.238461538461538e-05,875358.2187472312,748.6570645066739,0.0371811360639938,False,15,15,0
35,RNN_GRU,vader_nonprocessed_data_score,7.969230769230769e-05,707191.7447645729,686.2966396667568,0.0355693574548302,False,15,15,0
36,CNN,bert_processed_data_sentiment_score,3.538461538461538e-06,694913.8165181571,635.353619637574,0.0335004309702865,True,15,15,0
37,CNN,flair_processed_data_score,9.492307692307692e-05,625297.427616616,606.460728030233,0.0317879213064073,True,15,15,0
38,CNN,roberta_processed_data_sentiment_score,3.538461538461538e-06,712952.5228790137,669.8449793708395,0.0345695572192029,True,15,15,0
39,CNN,textblob_processed_data_polarity_score,8.223076923076923e-05,550347.2031696534,601.6820682322485,0.0314852653686985,True,15,15,0
40,CNN,textblob_processed_data_subjectivity_score,5.430769230769231e-05,452615.8556619678,525.0675099389792,0.0273399648741904,True,15,15,0
41,CNN,vader_processed_data_score,4.161538461538461e-05,701271.5864523995,692.8504501433063,0.035276202240252,True,15,15,0
42,GRU,bert_processed_data_sentiment_score,6.953846153846154e-05,349202.377028454,477.9918509037537,0.0260669264613542,True,15,15,0
43,GRU,flair_processed_data_score,8.223076923076923e-05,295497.00064637675,434.449445555196,0.0236318109746261,True,15,15,0
44,GRU,roberta_processed_data_sentiment_score,6.192307692307693e-05,338285.49515459524,473.00570191152,0.0254289550643585,True,15,15,0
45,GRU,textblob_processed_data_polarity_score,5.6846153846153845e-05,324026.7466680933,456.7800697462093,0.0247154221154033,True,15,15,0
46,GRU,textblob_processed_data_subjectivity_score,0.0001,352698.96814775746,483.7227068116679,0.0258826298974335,True,15,15,0
47,GRU,vader_processed_data_score,6.7e-05,358652.2120800752,488.9301136626294,0.0262843064015174,True,15,15,0
48,LSTM,bert_processed_data_sentiment_score,0.0003146153846153,205947.1651519967,358.88961810049926,0.0195686985190236,True,15,15,0
49,LSTM,flair_processed_data_score,0.0003146153846153,236007.85348920428,381.3408910988351,0.020470402032343,True,15,15,0
50,LSTM,roberta_processed_data_sentiment_score,0.0002892307692307,413504.9794554061,485.2489295372597,0.0272921112929945,True,15,15,0
51,LSTM,textblob_processed_data_polarity_score,0.00034,117880.76128910562,278.2635563054734,0.01355066744138,True,15,15,0
52,LSTM,textblob_processed_data_subjectivity_score,0.0001115384615384,269746.3010299728,435.1905091415496,0.0233516259399087,True,15,15,0
53,LSTM,vader_processed_data_score,0.000136923076923,160918.80060971843,321.70265983265534,0.0162458438356268,True,15,15,0
54,LSTM_GRU,bert_processed_data_sentiment_score,3.653846153846154e-05,910771.2043117716,756.5401185165496,0.0417587383682834,True,15,15,0
55,LSTM_GRU,flair_processed_data_score,2.6384615384615384e-05,954969.5449444868,733.1435099043084,0.0412060168188271,True,15,15,0
56,LSTM_GRU,roberta_processed_data_sentiment_score,1.1153846153846154e-05,957761.3784510484,771.2524168477256,0.043207920695685,True,15,15,0
57,LSTM_GRU,textblob_processed_data_polarity_score,7.461538461538462e-05,1047336.3708427304,812.8455774431397,0.045558717627102,True,15,15,0
58,LSTM_GRU,textblob_processed_data_subjectivity_score,9.492307692307692e-05,995935.962117071,826.334699461446,0.0452474330318639,True,15,15,0
59,LSTM_GRU,vader_processed_data_score,4.161538461538461e-05,806042.1306810944,709.9657870862611,0.0394368176673665,True,15,15,0
60,RNN,bert_processed_data_sentiment_score,0.0001,408356.29888905294,511.9099568925666,0.0258105238615438,True,15,15,0
61,RNN,flair_processed_data_score,0.0001,349004.78749907226,472.15342576969306,0.0238017822395177,True,15,15,0
62,RNN,roberta_processed_data_sentiment_score,9.238461538461538e-05,448629.6780048912,533.5339774408284,0.0272950466269483,True,15,15,0
63,RNN,textblob_processed_data_polarity_score,9.238461538461538e-05,573013.9287509692,617.3736825073964,0.0315093466205643,True,15,15,0
64,RNN,textblob_processed_data_subjectivity_score,9.746153846153844e-05,487219.7218900037,541.6896987102441,0.0269259219612111,True,15,15,0
65,RNN,vader_processed_data_score,9.746153846153844e-05,577722.2984952871,613.4464898645525,0.0307599864655436,True,15,15,0
66,RNN_GRU,bert_processed_data_sentiment_score,9.492307692307692e-05,489966.8241213962,570.2998841415496,0.0291700370177142,True,15,15,0
67,RNN_GRU,flair_processed_data_score,8.984615384615384e-05,440107.12816367066,517.6176021056767,0.0258863120311037,True,15,15,0
68,RNN_GRU,roberta_processed_data_sentiment_score,7.207692307692308e-05,444367.7832687818,531.3645005085059,0.0274058075198254,True,15,15,0
69,RNN_GRU,textblob_processed_data_polarity_score,9.238461538461538e-05,564324.387444688,618.4103628305288,0.0313433735524979,True,15,15,0
70,RNN_GRU,textblob_processed_data_subjectivity_score,8.984615384615384e-05,557540.7114461921,583.529662363628,0.0287797388719115,True,15,15,0
71,RNN_GRU,vader_processed_data_score,7.461538461538462e-05,723944.2449033726,672.7064375115569,0.0334109068247517,True,15,15,0
