,network_name,feature,lr,test_mse_loss,test_mae,test_mape,processed,sentiment_past,price_past,forecast
0,CNN,bert_nonprocessed_data_sentiment_score,3.538461538461538e-06,688083.4219216617,659.5611063986508,0.0334597560688344,False,30,30,7
1,CNN,flair_nonprocessed_data_score,3.538461538461538e-06,759835.4005706058,692.363552887692,0.035208257309355,False,30,30,7
2,CNN,roberta_nonprocessed_data_sentiment_score,5.6846153846153845e-05,978482.2482801834,791.5950311133479,0.0409217252675761,False,30,30,7
3,CNN,textblob_nonprocessed_data_polarity_score,9.746153846153844e-05,669267.7016984855,645.1271387302021,0.0335624158547701,False,30,30,7
4,CNN,textblob_nonprocessed_data_subjectivity_score,3.538461538461538e-06,500482.8655743388,564.6011150477283,0.028143711829933,False,30,30,7
5,CNN,vader_nonprocessed_data_score,6.076923076923077e-06,789671.3888785196,708.4137602405743,0.0358800962154114,False,30,30,7
6,GRU,bert_nonprocessed_data_sentiment_score,5.938461538461538e-05,754206.6974022771,703.7516548234855,0.0375692468575987,False,30,30,7
7,GRU,flair_nonprocessed_data_score,9.746153846153844e-05,224175.905684227,366.20160995327166,0.018791765765662,False,30,30,7
8,GRU,roberta_nonprocessed_data_sentiment_score,9.238461538461538e-05,558884.1003226322,624.7714560446885,0.0324060096295785,False,30,30,7
9,GRU,textblob_nonprocessed_data_polarity_score,0.0001,435300.9684883612,550.8216411082818,0.0284634851588336,False,30,30,7
10,GRU,textblob_nonprocessed_data_subjectivity_score,0.0001,413950.1770419488,517.1228410636198,0.0269839678531029,False,30,30,7
11,GRU,vader_nonprocessed_data_score,8.73076923076923e-05,607369.9096163076,613.0018218889985,0.032650046183254,False,30,30,7
12,LSTM,bert_nonprocessed_data_sentiment_score,0.0003907692307692,262181.8911982722,398.26584518484697,0.0205323383420286,False,30,30,7
13,LSTM,flair_nonprocessed_data_score,0.000466923076923,576909.8221373054,576.5097772904223,0.0303189015173299,False,30,30,7
14,LSTM,roberta_nonprocessed_data_sentiment_score,0.0004415384615384,485840.2165435687,583.5800602102443,0.0296162485443818,False,30,30,7
15,LSTM,textblob_nonprocessed_data_polarity_score,0.0004161538461538,159416.185771851,309.08394021304395,0.0158398545254975,False,30,30,7
16,LSTM,textblob_nonprocessed_data_subjectivity_score,0.0003653846153846,528186.3763598549,570.3226299611375,0.0278970135261428,False,30,30,7
17,LSTM,vader_nonprocessed_data_score,0.0003653846153846,177767.6995770451,331.0374180920702,0.0166035896467534,False,30,30,7
18,LSTM_GRU,bert_nonprocessed_data_sentiment_score,1.1153846153846154e-05,1552594.8553837591,953.8238787862628,0.0518994041036738,False,30,30,7
19,LSTM_GRU,flair_nonprocessed_data_score,8.73076923076923e-05,782014.5126707318,673.2606480308767,0.0361764342059244,False,30,30,7
20,LSTM_GRU,roberta_nonprocessed_data_sentiment_score,3.4e-05,1506262.6257999146,950.806047771571,0.0520845849230669,False,30,30,7
21,LSTM_GRU,textblob_nonprocessed_data_polarity_score,8.615384615384615e-06,1415822.0757752506,903.859624556714,0.0497067555143106,False,30,30,7
22,LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,1.3692307692307692e-05,731059.6175041329,660.6702805867374,0.0358513651454245,False,30,30,7
23,LSTM_GRU,vader_nonprocessed_data_score,8.615384615384615e-06,1620386.2293172062,959.413313413236,0.0527529028087771,False,30,30,7
24,RNN,bert_nonprocessed_data_sentiment_score,9.746153846153844e-05,586947.85300068,619.1966881865934,0.031975904135542,False,30,30,7
25,RNN,flair_nonprocessed_data_score,7.715384615384615e-05,570687.9413695872,603.9192673614814,0.0313619110938288,False,30,30,7
26,RNN,roberta_nonprocessed_data_sentiment_score,9.238461538461538e-05,946642.152258759,786.6328916582231,0.0414470713808115,False,30,30,7
27,RNN,textblob_nonprocessed_data_polarity_score,9.746153846153844e-05,700752.5585954165,672.7785119587244,0.0354833449403923,False,30,30,7
28,RNN,textblob_nonprocessed_data_subjectivity_score,9.492307692307692e-05,414787.50549483055,517.4633924464724,0.0259371063661675,False,30,30,7
29,RNN,vader_nonprocessed_data_score,8.73076923076923e-05,787102.4916342257,715.1418069572579,0.0370548690117755,False,30,30,7
30,RNN_GRU,bert_nonprocessed_data_sentiment_score,8.223076923076923e-05,3481709.8971843,1612.816085034263,0.0852997230378586,False,30,30,7
31,RNN_GRU,flair_nonprocessed_data_score,2.384615384615385e-05,4280901.630599403,1726.2892212330685,0.0918041195040219,False,30,30,7
32,RNN_GRU,roberta_nonprocessed_data_sentiment_score,9.746153846153844e-05,4233986.919181954,1696.8855380426087,0.0917856679949591,False,30,30,7
33,RNN_GRU,textblob_nonprocessed_data_polarity_score,9.238461538461538e-05,2021498.05090457,1147.5161824405398,0.06176708215997,False,30,30,7
34,RNN_GRU,textblob_nonprocessed_data_subjectivity_score,4.9230769230769225e-05,1251576.6569532582,970.1362271357722,0.0501432501768165,False,30,30,7
35,RNN_GRU,vader_nonprocessed_data_score,9.492307692307692e-05,2455352.8693739334,1321.0036546101749,0.0703882401047827,False,30,30,7
36,CNN,bert_processed_data_sentiment_score,1.876923076923077e-05,461946.5908518711,532.6865387784728,0.0271166900667751,True,30,30,7
37,CNN,flair_processed_data_score,3.907692307692308e-05,491207.9433698945,548.2207616398535,0.0280543554957146,True,30,30,7
38,CNN,roberta_processed_data_sentiment_score,2.1307692307692308e-05,528522.4927415283,577.9729177040086,0.0291355572008867,True,30,30,7
39,CNN,textblob_processed_data_polarity_score,8.615384615384615e-06,392480.6670219928,493.0289111591113,0.0246004953627646,True,30,30,7
